"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0417493615845969,0.0502955505379906,87,0.00539224901783475,0,0.12273856876016,"Before",0.00896604536146562
"2","2000",0.0221719607862429,0.0228782560069941,107,0.00221172448876893,0,0.0651771067481932,"Before",0.00367003837586745
"3","4000",0.0435446160889634,0.049710140385894,104,0.00487448030482905,0,0.148034669475805,"Before",0.00809057600189636
"4","6000",0.0337688955055553,0.0421186256254262,110,0.00401585338442847,0,0.100767581459359,"Before",0.00666211385973408
"5","8000",0.0258267036947084,0.0286646214011209,147,0.00236421812602226,0,0.0684256208434579,"Before",0.0039136258398613
"6","10000",0.0292069561370345,0.0269770441889366,112,0.00254909107255452,0,0.0762334954388404,"Before",0.00422817039135673
"7","12000",0.0240691610884021,0.0312072290836363,104,0.00306012057812734,0,0.0751828845202237,"Before",0.00507913388998186
"8","14000",0.0249569040574578,0.0333302366413205,62,0.00423294428639411,0,0.0870178854466207,"Before",0.00706994602086416
"9","16000",0.0211829548972833,0.0201343500546385,24,0.00410990699470357,0,0.0520265468117495,"Before",0.00704385257991089
"10","18000",0.0771428725484197,0.11919674103339,4,0.059598370516695,0.00989577258898244,0.221459774740202,"Before",0.140256625947761
"11","0",0.0570840250014657,0.0546934043999878,89,0.00579748927143176,0,0.151001826659522,"After",0.00963747964941644
"12","2000",0.0345211400797238,0.039859008895879,88,0.00424898462491303,0,0.0931294076519042,"After",0.00706418061569148
"13","4000",0.041609545126164,0.041152756848878,82,0.00454456174100869,0,0.121332274149886,"After",0.00756162317214788
"14","6000",0.0239612386108551,0.0332862648254173,95,0.00341509871326516,0,0.0856349288584756,"After",0.00567325028086594
"15","8000",0.0247226811660641,0.0280723030155942,114,0.00262921207028276,0,0.0751596988119708,"After",0.004360417326764
"16","10000",0.0210446340338794,0.02571434668895,91,0.00269559597202367,0,0.0667828879168819,"After",0.0044799756037718
"17","12000",0.0181164125501801,0.0213402424281388,81,0.00237113804757098,0,0.0710359900014696,"After",0.00394586910419198
"18","14000",0.0245814123678347,0.0252286338289747,49,0.00360409054699639,0,0.0702417384196957,"After",0.00604486787044534
"19","16000",0.023480388257204,0.0217606222130921,39,0.00348448826063241,0,0.0704616993554099,"After",0.00587468852441184
"20","18000",0.0112340866465646,0.0144608208767489,13,0.00401071008895525,0,0.0322351404769099,"After",0.00714823868086211
