"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0690229760251586,0.0658944744924264,62,0.00836860662914896,0.018670761575819,0.242456291519999,"Before",0.0167340631891913
"2","2000",0.0368230746399455,0.038982360474144,103,0.00384104611071286,0.00500530221854593,0.142526201423497,"Before",0.00761869674852035
"3","4000",0.0235942975729287,0.0367710009656809,149,0.00301239777405223,0,0.130443570058645,"Before",0.00595286700101656
"4","6000",0.0215991261163901,0.0223891131720752,128,0.00197893671859093,0.00512741229522658,0.080051618555252,"Before",0.00391595863668847
"5","8000",0.0141527338337189,0.0245058126558732,145,0.00203509697121284,0,0.0958201379233378,"Before",0.00402252192984634
"6","10000",0.0120237049405041,0.0181358715773859,107,0.00175326088145051,0,0.0664241564697811,"Before",0.00347601022272434
"7","12000",0.0189225417360793,0.0233698304523491,102,0.00231395802021749,0,0.0784859701027553,"Before",0.00459027026424321
"8","14000",0.0153772583350195,0.0235122571862232,84,0.00256539757893184,0,0.0631854038026005,"Before",0.00510247260465417
"9","16000",0.0239371960695725,0.02691110839779,38,0.00436555824849349,0,0.0763877876707398,"Before",0.00884546122001206
"10","18000",0.017346742125159,0.0208566741595813,28,0.00394154092872566,0,0.0629705448781212,"Before",0.00808737395951535
"11","0",0.0358924660186519,0.040448369767392,27,0.00778429239116176,0.0041357586600391,0.117634289338378,"After",0.0160008421690367
"12","2000",0.0259522101591466,0.0377773019537148,41,0.00589982336011343,0,0.118244974429269,"After",0.0119239878002793
"13","4000",0.0241424375399973,0.0331790964904467,28,0.00627025985996699,0,0.0906317098531605,"After",0.0128655105269417
"14","6000",0.0209287245487904,0.0246381754250276,32,0.0043554552297752,0,0.0667350961935615,"After",0.00888300950630407
"15","8000",0.0164321029647381,0.020781328001948,56,0.00277702176519503,0,0.0744541484062478,"After",0.00556527598161951
"16","10000",0.0198828925082866,0.0203336303876397,42,0.0031375472857038,0,0.0599859093650107,"After",0.00633640529017595
"17","12000",0.0132465639567288,0.0156407089125388,22,0.00333461034446286,0,0.0413321866029972,"After",0.00693470183911711
"18","14000",0.00958237961121387,0.0250992911841602,17,0.00608747227531922,0,0.0745658713256773,"After",0.0129048647353117
"19","16000",0.015553903135909,0.0134403079266301,16,0.00336007698165752,0,0.0341417883121388,"After",0.00716183455559979
"20","18000",0.0188035955907349,0.0186349227745679,19,0.00427514448394875,0.00109749258981176,0.0571251800848897,"After",0.00898174527154282
