"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0569079748629044,0.0420093329664407,194,0.00301609433413452,0.0276314574975289,0.151903531461472,"Before",0.00594873839240159
"2","2000",0.0369037008272766,0.0345599756629972,327,0.00191117102119452,0.011944637702935,0.113725612149525,"Before",0.00375978467948002
"3","4000",0.0344894166972008,0.0288004229418478,282,0.00171504022824572,0.0123492501021315,0.10195785881659,"Before",0.0033759573744676
"4","6000",0.0254893404381381,0.0237982534899474,380,0.00122082464490605,0.00764697964373289,0.0785015230127961,"Before",0.00240043787819215
"5","8000",0.0231392297581803,0.0188567828392316,452,0.000886948456372143,0.00741015224710877,0.0692055359573832,"Before",0.00174306473410549
"6","10000",0.0221817586017505,0.021523023898766,360,0.00113436296090563,0.00319749694749695,0.0779801959917981,"Before",0.00223083132214583
"7","12000",0.0227245637320041,0.0204878014691813,202,0.00144151668106376,0.00703513345137386,0.0696195872893071,"Before",0.00284243521685366
"8","14000",0.0248754719246701,0.0187983071571927,82,0.0020759257469925,0.0081748257791815,0.0552565818732048,"Before",0.00413044106730303
"9","16000",0.0248662742400944,0.0221877818931116,37,0.00364764887377969,0.00715197956577267,0.0805331111383743,"Before",0.00739777479859568
"10","18000",0.0165044638733156,0.0141330306088789,28,0.0026708917330541,0.00672961656797864,0.0438899676712177,"Before",0.00548021716409532
"11","20000",0.0258923778851315,0.0209987561294395,2,0.0148483628556092,0.0184681964573269,0.0399983225979603,"Before",0.188666338440382
"12","0",0.0468065180387975,0.0449515255415803,26,0.0088157194577801,0.0111095430679557,0.139519609572463,"After",0.0181563140935555
"13","2000",0.0293972735868247,0.0208614760957694,29,0.00387387885847638,0.012853471096057,0.0730157638344281,"After",0.00793528112015263
"14","4000",0.016953418378829,0.0144401897730119,33,0.00251371438724135,0.00707537871807496,0.0560414660571259,"After",0.00512026865130728
"15","6000",0.0152761025701247,0.0173770386015791,48,0.00250815947858505,0.0017832035149745,0.0615576842725558,"After",0.00504576603796487
"16","8000",0.0233167565264174,0.0218765622385357,42,0.00337562683906026,0.00249762182862281,0.0701576397661427,"After",0.00681721670240372
"17","10000",0.0204105577651665,0.019316644623237,32,0.00341473260071538,0.00139829493773125,0.0589316268453265,"After",0.0069643930550072
"18","12000",0.00792754297861823,0.00767898025032709,23,0.0016011780674528,0.000230318257956449,0.0236198832128104,"After",0.00332064007100898
"19","14000",0.0107883287770103,0.00886676849451427,6,0.00361984307982429,0.00358027560807766,0.0222719134324764,"After",0.00930510286885014
"20","16000",0.00223711611040309,0.00230208275039925,5,0.00102952270394448,0,0.0047281560654196,"After",0.00285841327205665
"21","18000",0.02170157338322,0.026626442239728,8,0.00941386893329178,0.00148811224461213,0.0619252799753674,"After",0.0222602627809776
"22","20000",0,NA,1,NA,0,0,"After",NA
