"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0879660150587672,0.0641406028476594,42,0.00989710988798194,0.0444645880192475,0.215904107275476,"Before",0.01998761890774
"2","2000",0.0267454235502362,0.0343940852826926,63,0.00433324743950244,0,0.125020063449292,"Before",0.0086620382078232
"3","4000",0.0207424167576792,0.0278870161764339,84,0.0030427229174992,0,0.107819735202301,"Before",0.00605185350512313
"4","6000",0.0164229717501726,0.0234185511657821,83,0.00257051993874277,0,0.0741102151972285,"Before",0.00511358301563057
"5","8000",0.00662871039873478,0.0131043197682073,97,0.0013305420823334,0,0.0432809588733193,"Before",0.00264110515925222
"6","10000",0.00975205575855254,0.0138740525306512,106,0.00134756710766235,0,0.0478368678562441,"Before",0.00267197664353673
"7","12000",0.0134654709743224,0.0189790837424601,80,0.00212192606994009,0,0.055604625020574,"Before",0.00422358819200505
"8","14000",0.0112179287672618,0.0143804003250719,62,0.00182631266759771,0,0.0519688481643068,"Before",0.0036519378837034
"9","16000",0.015386321715063,0.0182112349774303,67,0.00222485645823477,0,0.0589794291820345,"Before",0.0044420692417878
"10","18000",0.0193725571423334,0.0178976120881276,19,0.00410599381172842,0.00531146008318526,0.0555443683138312,"Before",0.00862637289615355
"11","0",0.0693813847747179,0.0578478131547124,38,0.00938415445926427,0.0323899814334535,0.179742085082361,"After",0.0190141030372623
"12","2000",0.0290980920767845,0.0250868972198577,46,0.00369886119995267,0.0102641613478406,0.0863968514126238,"After",0.00744988887782455
"13","4000",0.0274278639814937,0.0296590913971654,81,0.00329545459968504,0.0094842720296074,0.115361734374188,"After",0.00655816365523792
"14","6000",0.0190709600289447,0.0178729938075984,59,0.00232686559977824,0.00488991836217093,0.0629869817891994,"After",0.0046577275543322
"15","8000",0.0109792017631692,0.0142599639847845,68,0.00172927463902265,0,0.0527467289920043,"After",0.00345164662589329
"16","10000",0.0152170854609179,0.0194635096272487,64,0.00243293870340609,0,0.0642069204337772,"After",0.00486184004848424
"17","12000",0.0127503927027231,0.0162103623535922,53,0.00222666451470203,0,0.0427209914712166,"After",0.00446812923437106
"18","14000",0.017100684227123,0.0167799376178653,50,0.00237304153549596,0.000889211422584811,0.0545416957041481,"After",0.00476880550641183
"19","16000",0.0131381288928973,0.0157194111363307,78,0.0017798728219944,0,0.0370797828678508,"After",0.00354417958002868
"20","18000",0.0174171051268141,0.0212730091644115,24,0.00434233481219653,0,0.0669069875128919,"After",0.00898280395623793
