"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0379428049711501,0.0530181262901275,6,0.0216445594215417,0.000253815373162107,0.116094758231312,"Before",0.0436148342538876
"2","2000",0.028877978521343,0.0405147284743827,6,0.0165400686382743,0.0018964067068815,0.088212245258117,"Before",0.0333290384043712
"3","4000",0.0147685912549951,0.00888817676077823,5,0.0039749134866268,0.00536420217319937,0.0253218081391708,"Before",0.0084739065423918
"4","6000",0.0180966283654577,0.016075019002437,7,0.00607578608586942,0,0.0390266395476576,"Before",0.0118063477106907
"5","8000",0.00888519305745994,0.0120901529249405,8,0.0042745145594039,0,0.0286751130218053,"Before",0.00809840383139236
"6","10000",0.00229801620389618,0.00472481676510064,12,0.00136393711560126,0,0.0121629795786788,"Before",0.00244947395957528
"7","12000",0.00548225671691937,0.00884930788893566,11,0.0026681667201756,0,0.0209835397569053,"Before",0.00483594844949822
"8","14000",0.0325807117693704,0.0309250997771392,4,0.0154625498885696,0.00556007811284193,0.0643267960908369,"Before",0.0363889995165587
"9","16000",0.0022070255767151,0.00319405898747515,5,0.00142842660402772,0,0.00639486130709112,"Before",0.00304518666529998
"10","18000",0.000576785024021205,0.00081569720354448,2,0.000576785024021205,5.76785024021205e-05,0.00109589154564029,"Before",0.00364167731905576
"11","0",0.0344479304477483,0.0414940244910039,101,0.0041288097540033,0,0.0832427536231884,"After",0.00685479167947224
"12","2000",0.0324701928696459,0.0304751878267287,60,0.00393432983084878,0,0.0612268248132728,"After",0.00657463116632989
"13","4000",0.0161518044548761,0.014730697991316,48,0.00212619311265935,0,0.0419225426103687,"After",0.003567596239102
"14","6000",0.0138606742932876,0.0181002090552931,38,0.00293624163571354,0,0.0493650306399125,"After",0.00495371452920521
"15","8000",0.0147288353392896,0.0164320425820312,79,0.00184874922965445,0,0.0408678714912833,"After",0.00307747352919543
"16","10000",0.0178625662244527,0.0177519441783585,106,0.0017242212409795,0,0.0469642426672706,"After",0.0028613371893774
"17","12000",0.0138533741821292,0.010298648515339,72,0.00121370736704216,0,0.0314243824670843,"After",0.00202276428322329
"18","14000",0.0167520196194766,0.0165706319150647,77,0.00188839876534124,0,0.0446290922169152,"After",0.00314446975987572
"19","16000",0.0143107669203472,0.0161016805918441,53,0.00221173592661737,0,0.052275995743387,"After",0.00370397016721229
"20","18000",0.0164485901240447,0.0265521469558519,32,0.00469380079188616,0,0.0578866391006336,"After",0.00795842740417164
