"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0922200573917184,0.0709278606140673,92,0.00739474064813206,0.00580622820473137,0.227627569062357,"Before",0.0122883667082281
"2","2000",0.0725819974502036,0.0781245448591715,73,0.009143786354493,0.0012854131042134,0.218851352036336,"Before",0.0152362335612652
"3","4000",0.0613195844621784,0.0532168984000997,23,0.0110964903878317,0,0.154341805435147,"Before",0.0190542760448296
"4","6000",0.0634473220802499,0.0476549765229839,104,0.00467295490789425,0,0.140143641965115,"Before",0.00775608772042808
"5","8000",0.0351183634285388,0.0347756061856627,140,0.00293907515285762,0,0.0998030275926005,"Before",0.00486678476625017
"6","10000",0.0263842732041782,0.0249150128715982,65,0.00309032700881539,0,0.0649443450461485,"Before",0.00515779602929662
"7","12000",0.0129699142654154,0.0156911316080519,21,0.00342408563492439,0,0.0437321571314377,"Before",0.0059055829598771
"8","14000",0.0120675100801592,0.0195345721241431,23,0.00407323986032137,0,0.0503639235432757,"Before",0.0069943409116522
"9","16000",0.00928515237846081,0.0135998781844492,18,0.00320552202917833,0,0.0360599399888643,"Before",0.00557634768254044
"10","18000",0,0,2,0,0,0,"Before",0
"11","0",0.0952138683383934,0.076848036712361,47,0.0112094382216784,0.00243097915581021,0.237005390569184,"After",0.0188168402009428
"12","2000",0.036245938042904,0.0423551988558443,47,0.00617814072099936,0,0.140970947112548,"After",0.0103710002577253
"13","4000",0.0331417380800022,0.0355885076374758,40,0.00562703713303607,0,0.10206143029117,"After",0.00948085487439773
"14","6000",0.0518203108211401,0.0484793058863902,48,0.00699738507590839,0,0.141655332506924,"After",0.0117410994004846
"15","8000",0.0288458757756313,0.031674499316688,85,0.00343558181897292,0,0.0910727851911445,"After",0.00571404827191657
"16","10000",0.0428527649693883,0.0475072626436511,42,0.00733052977344431,0,0.123535560627602,"After",0.0123363872997083
"17","12000",0.0337054774368742,0.0377508958284837,16,0.00943772395712093,0,0.0890147026333643,"After",0.0165448053399592
"18","14000",0.0442115992252351,0.048285779236998,17,0.0117110216476117,0,0.111398888377884,"After",0.020446081527083
"19","16000",0.0428499998918258,0.0385312201284934,6,0.0157303047469442,0,0.085136016249206,"After",0.0316973249923627
"20","18000",0.093894598099018,0.0243181385547885,3,0.0140400838407978,0.0700813603132323,0.111898777963268,"After",0.0409968423620868
