"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0834465754466214,0.0968486935835808,31,0.0173945388619776,0.00129812812897353,0.264760214119023,"Before",0.0355243876078784
"2","2000",0.0432068125213243,0.0442719589119165,23,0.00923134157167716,0,0.129336372132551,"Before",0.0191446306661241
"3","4000",0.0343394233232544,0.053907541045834,13,0.0149512617980719,0,0.118677931935689,"Before",0.0325760010253525
"4","6000",0.0179698628786328,0.0246923308884052,24,0.00504030093637973,0,0.0530665742830919,"Before",0.0104266568908442
"5","8000",0.0187559802778479,0.0258269360741522,32,0.00456560040882612,0,0.0799936980943695,"Before",0.00931160342467382
"6","10000",0.0122639373473745,0.0169519281277772,53,0.00232852640764912,0,0.0490288346099441,"Before",0.00467253007641087
"7","12000",0.0237380110544346,0.0240470322280171,27,0.00462785351001909,0,0.0719081013405084,"Before",0.00951268912757098
"8","14000",0.0391771477003431,0.0511603524044456,10,0.016178323949492,0,0.128798280925024,"Before",0.036597911404413
"9","16000",0.0545456129894333,0.0541993055308608,10,0.0171393253076881,0,0.132723216575479,"Before",0.0387718475103153
"10","18000",0.0517960419907815,0.0426718026582201,8,0.0150867605125408,0.00315147609718374,0.102001893218736,"Before",0.0356745197859263
"11","0",0.0506823041911893,0.0440923265502942,152,0.00357635993697519,0,0.123691313129683,"After",0.00706616811466116
"12","2000",0.033466298097469,0.0543397769257677,167,0.00420493818358814,0,0.0890268724586294,"After",0.00830205234846933
"13","4000",0.0290683382842478,0.0471515163529175,126,0.00420059093951158,0,0.0829965380924701,"After",0.00831349080221446
"14","6000",0.0199859159486838,0.036567873105709,102,0.00362075897075006,0,0.073336403067231,"After",0.00718261182450652
"15","8000",0.0172851970623802,0.0223655317413573,153,0.00180814607338668,0,0.0542030279646467,"After",0.00357234321779308
"16","10000",0.0165125623231316,0.0207284194805374,181,0.00154073128608392,0,0.0570839655123201,"After",0.00304021846377144
"17","12000",0.021402444770717,0.0266902000995198,145,0.00221650047465696,0,0.0702843442253536,"After",0.00438107957160827
"18","14000",0.0191085772858055,0.0355477127172245,78,0.0040249858726083,0,0.0703113725760629,"After",0.00801477081020744
"19","16000",0.0272468726912553,0.0277883315611515,52,0.00385354824243562,0,0.0786282447910538,"After",0.00773632090964287
"20","18000",0.0259170565752672,0.0199745312219542,20,0.00446644096309815,0,0.0633511063545658,"After",0.00934836837335903
