"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0993810179669896,0.0658348097696565,33,0.0114603693649911,0.0619747326154649,0.231166271440871,"Before",0.023344008487919
"2","2000",0.0345646855870457,0.029834380670675,25,0.005966876134135,0.00171367019193106,0.0905331718221354,"Before",0.0123150270706538
"3","4000",0.0254003237997976,0.0298151926706404,21,0.00650620844156677,0,0.0880513528062163,"Before",0.0135717129894009
"4","6000",0.0305382736639427,0.033505243600203,46,0.00494007865786028,0.011119003188157,0.0961590386752688,"Before",0.00994982916613433
"5","8000",0.0228437991444265,0.0327335707244577,53,0.0044963017347658,0,0.0850509546066944,"Before",0.00902248951066112
"6","10000",0.0164798990124297,0.0233104369747933,23,0.00486056210721339,0,0.0745237408262364,"Before",0.0100801888490247
"7","12000",0.020247140120274,0.0256574921493136,21,0.00559892380556975,0,0.0787229042118664,"Before",0.0116791504024452
"8","14000",0.0196194485561497,0.0393188232282183,13,0.0109050794800189,0,0.111801841098205,"Before",0.023760127079606
"9","16000",0.00715424623639936,0.00902012400013393,14,0.00241072954247986,0,0.0206534491969275,"Before",0.00520806454278237
"10","18000",0.0598843790899856,0.0813810113507937,2,0.0575450649859656,0.0311118465970028,0.114552190826653,"Before",0.731179377268157
"11","20000",0.0387518494726733,0.0548033910912952,2,0.0387518494726733,0.0193759247363366,0.0755661064717129,"Before",0.49238893330521
"12","0",0.091886005246758,0.0354617436847681,18,0.00835841314406625,0.0724026672265692,0.161086142243479,"After",0.0176347102573177
"13","2000",0.0456767988374303,0.0194901273379322,11,0.00587649449965178,0.0413049686978679,0.0691125210757833,"After",0.0130936457081578
"14","4000",0.0726147407590551,0.0523046687217568,4,0.0261523343608784,0.0439862606733144,0.142585049560168,"After",0.0832283998613216
"15","6000",0.0705849336755617,0.040467399347073,19,0.00928385811904185,0.0429960299531503,0.157649692990809,"After",0.0195046621407657
"16","8000",0.0364289810153852,0.0303937703488704,22,0.00647997361112708,0.0122202974955029,0.0897122540505847,"After",0.0134758428351699
"17","10000",0.0397894695022784,0.0467710770808355,2,0.0330721457672575,0.0232533966186497,0.071208007981173,"After",0.420221455183387
"18","12000",0.0346882833345501,0.0339092525851646,3,0.0195775161080638,0.0169591996716844,0.0682062476694855,"After",0.0842352531240747
"19","14000",0.015844832148023,0.00975397409165521,5,0.00436210982394256,0.0111905270429387,0.0288624540656037,"After",0.0121111584690205
"20","16000",0.0312944313068939,0.0203856007601675,6,0.00832238666041719,0.0189891960287792,0.0619734404360599,"After",0.0213933759784104
"21","18000",0.0606558611935413,NA,1,NA,0.0606558611935413,0.0606558611935413,"After",NA
