"","cutdist","avg","sdev","n","se","first","second","label","ci"
"1","0",0.0810616849841337,0.062870557812869,192,0.00453729168467023,0.0295656542531543,0.229852551143065,"Before",0.00894963538449886
"2","2000",0.045686744168051,0.0404426174380148,245,0.00258378405084056,0.0132051282051282,0.156420530080141,"Before",0.00508936727363187
"3","4000",0.0252515672377171,0.0268611700651068,306,0.00153555088714604,0,0.0905161480226698,"Before",0.0030216145847411
"4","6000",0.021605018546871,0.0219365534739913,230,0.00144645350143524,0,0.0777323463573464,"Before",0.00285005912061557
"5","8000",0.020822526548311,0.0223659928458644,198,0.00158948189891425,0,0.0706162396732572,"Before",0.00313458392741923
"6","10000",0.011969903018869,0.0175047017062796,173,0.00133085782633101,0,0.059992656275837,"Before",0.00262691660779221
"7","12000",0.0132275064971567,0.0222128231856052,144,0.00185106859880043,0,0.0723634960718294,"Before",0.00365899285708164
"8","14000",0.0147531543373319,0.0200244424338137,140,0.00169237427215039,0,0.0628325301158182,"Before",0.00334612471239628
"9","16000",0.0119734111733067,0.0205869644494933,201,0.00145209251182869,0,0.0785699677938809,"Before",0.00286337574044207
"10","18000",0.00774521304377079,0.015198294333451,59,0.00197864938803802,0,0.0417240740740741,"Before",0.00396069707502897
"11","20000",0.0433369936223197,0.0337384436152289,3,0.0194788995032914,0.0314086524888155,0.0660008417759776,"Before",0.0838109401203523
"12","0",0.186841480602499,0.0658105556364883,26,0.0129065118227245,0.138429521109236,0.319433937385543,"After",0.0265814586804674
"13","2000",0.103654165031732,0.0436412563965842,33,0.00759696761647897,0.0743898028366487,0.18855576842006,"After",0.0154745166471926
"14","4000",0.104273579237812,0.0593248865608556,34,0.0101741341089266,0.0660904710861211,0.252783271758886,"After",0.0206994314829122
"15","6000",0.0913233309774486,0.0552879544704041,29,0.0102667154024991,0.0533856069115011,0.200319740195156,"After",0.0210304131532585
"16","8000",0.103690473048233,0.0540656668387896,18,0.0127433998836936,0.0660055187528869,0.22069778367328,"After",0.026886223589176
"17","10000",0.106694358238784,0.0567014575231853,29,0.0105291963298996,0.0729530813379888,0.186961276959648,"After",0.0215680809595307
"18","12000",0.141009897434417,0.0738279360331787,21,0.0161105764416381,0.0815639863931789,0.266462635784724,"After",0.0336060735716395
"19","14000",0.138576017653251,0.0778691445894638,26,0.0152713956834021,0.0823928637747312,0.278940985054528,"After",0.0314520281643169
"20","16000",0.0658114813996104,0.0533101706847465,29,0.00989945017358037,0.0188577312956195,0.173114562036687,"After",0.0202781044354082
"21","18000",0.0607757547322932,0.021502995788996,7,0.00812736847150749,0.0488065448361514,0.0910270202403186,"After",0.0198869542315536
"22","20000",0.0260848598332614,NA,1,NA,0.0260848598332614,0.0260848598332614,"After",NA
"23","0",0.0814010013660342,0.0515067774281981,14,0.013765765302367,0.0471289981838834,0.166971365534749,"After-2",0.0297391278914568
"24","2000",0.0378612741262801,0.0251396517705797,21,0.00548592177064344,0.0198849686399094,0.0822308835428285,"After-2",0.0114434322881222
"25","4000",0.0601585392752821,0.0458520166152148,8,0.0162111359398483,0.0178847422908168,0.126545209065736,"After-2",0.0383332451892327
"26","6000",0,0,2,0,0,0,"After-2",0
"27","8000",0.0426830174633623,0.0397158601357972,10,0.0125592577261804,0.0103177241097023,0.113551661537301,"After-2",0.0284110148247076
"28","10000",0.0407030294663071,0.0466655479408929,11,0.0140701921051167,0.00447275913263015,0.129803289365527,"After-2",0.0313503416843211
"29","12000",0.0513952516485034,0.0381650745690587,14,0.0102000452270069,0.0194455566956403,0.118865761085803,"After-2",0.0220358580029286
"30","14000",0.0403107280332956,0.0269683997734968,10,0.0085281568134219,0.0249394745840034,0.0709009780176582,"After-2",0.0192920310209487
"31","16000",0.0206474248678587,0.0200555235918804,15,0.00517831392472151,0,0.0532149995562384,"After-2",0.0111063787716021
