"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"1","F109",1,48,100.5,"Albian",113,66,"Amphidonte","Amphidonte (Amphidonte)",0,"Mollusca","Bivalvia","Ostreida","Gryphaeidae",45.53,151.8,415288,40215,10664,151.8,45.53,156.858534059174,45.610404392128
"2","F109",1,48,100.5,"Albian",113,66,"Amphidonte","Amphidonte (Amphidonte)",0,"Mollusca","Bivalvia","Ostreida","Gryphaeidae",45.86,151.54,418231,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"3","F109",1,48,100.5,"Albian",121.4,66,"Anthonya","Anthonya",0,"Mollusca","Bivalvia","Carditida","Crassatellidae",45.74,151.74,415982,40317,10664,151.74,45.74,156.858534059174,45.610404392128
"4","F109",1,48,100.5,"Albian",121.4,66,"Anthonya","Anthonya",0,"Mollusca","Bivalvia","Carditida","Crassatellidae",45.82,151.68,827827,91252,30704,151.68,45.82,156.858534059174,45.610404392128
"5","F109",1,48,100.5,"Albian",121.4,66,"Anthonya","Anthonya",0,"Mollusca","Bivalvia","Carditida","Crassatellidae",45.86,151.54,418238,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"6","F109",1,48,100.5,"Albian",410.8,0.0117,"Astarte","Astarte",0,"Mollusca","Bivalvia","Carditida","Astartidae",45.82,151.68,827844,91255,30704,151.68,45.82,156.858534059174,45.610404392128
"7","F109",1,48,100.5,"Albian",410.8,0.0117,"Astarte","Astarte",0,"Mollusca","Bivalvia","Carditida","Astartidae",45.86,151.54,418234,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"8","F109",1,48,100.5,"Albian",113,100.5,"Astarte","Astarte (Leckhamptonia)",1,"Mollusca","Bivalvia","Carditida","Astartidae",45.86,151.54,418235,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"9","F109",1,48,100.5,"Albian",113,100.5,"Astarte","Astarte (Leckhamptonia)",1,"Mollusca","Bivalvia","Carditida","Astartidae",45.74,151.74,415980,40317,10664,151.74,45.74,156.858534059174,45.610404392128
"10","F109",1,48,100.5,"Albian",227,66,"Cercomya","Cercomya",0,"Mollusca","Bivalvia","Pandorida","Laternulidae",45.86,151.54,418241,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"11","F109",1,48,100.5,"Albian",259.51,0.0117,"Chlamys","Chlamys",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",45.86,151.54,418227,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"12","F109",1,48,100.5,"Albian",113,89.8,"Cimolithium","Cimolithium",0,"Mollusca","Gastropoda","Sorbeoconcha","Procerithiidae",45.82,151.68,827832,91252,30704,151.68,45.82,156.858534059174,45.610404392128
"13","F109",1,48,100.5,"Albian",149.2,0.0117,"Ctenoides","Ctenoides",0,"Mollusca","Bivalvia","Pectinida","Limidae",45.86,151.54,418229,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"14","F109",1,48,100.5,"Albian",358.9,0.0117,"Cucullaea","Cucullaea",0,"Mollusca","Bivalvia","Arcida","Cucullaeidae",45.86,151.54,418222,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"15","F109",1,48,100.5,"Albian",199.5,66,"Cucullaea","Cucullaea (Idonearca)",0,"Mollusca","Bivalvia","Arcida","Cucullaeidae",45.86,151.54,418221,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"16","F109",1,48,100.5,"Albian",113,11.63,"Eburneopecten","Eburneopecten",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",45.86,151.54,418228,40555,10664,151.54,45.86,156.858534059174,45.610404392128
"17","F109",1,48,100.5,"Albian",168.2,61.6,"Eriphyla","Eriphyla",0,"Mollusca","Bivalvia","Carditida","Astartidae",45.82,151.68,827826,91252,30704,151.68,45.82,156.858534059174,45.610404392128
"18","F109",1,48,100.5,"Albian",168.2,61.6,"Eriphyla","Eriphyla",0,"Mollusca","Bivalvia","Carditida","Astartidae",45.82,151.68,827843,91255,30704,151.68,45.82,156.858534059174,45.610404392128
"19","F109",1,48,100.5,"Albian",113,66,"Eriphyla","Eriphyla (Eriphyla)",0,"Mollusca","Bivalvia","Carditida","Astartidae",45.86,151.54,418236,40555,10664,151.54,45.86,156.858534059174,45.610404392128
