"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"1","F127",1,17,290.1,"Sakmarian",290.1,254.14,"Bruntonia","Bruntonia",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982855,117699,27298,-21.46,37.84,-18,40.6617064710607
"2","F127",1,17,290.1,"Sakmarian",307,266.9,"Calliprotonia","Calliprotonia",0,"Brachiopoda","Strophomenata","Productida","Echinoconchidae",37.84,-21.46,982859,117701,27298,-21.46,37.84,-18,40.6617064710607
"3","F127",1,17,290.1,"Sakmarian",315.2,264.28,"Exochorhynchus","Exochorhynchus",0,"Mollusca","Bivalvia","Pholadomyida","Pholadomyidae",37.84,-21.46,982861,117701,27298,-21.46,37.84,-18,40.6617064710607
"4","F127",1,17,290.1,"Sakmarian",330.9,251.902,"Kochiproductus","Kochiproductus",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982863,117702,3813,-21.46,37.84,-18,40.6617064710607
"5","F127",1,17,290.1,"Sakmarian",387.7,266.9,"Komiella","Komiella",0,"Brachiopoda","Strophomenata","Strophomenida","Rugosochonetidae",37.84,-21.46,982853,117699,27298,-21.46,37.84,-18,40.6617064710607
"6","F127",1,17,290.1,"Sakmarian",315.2,266.9,"Kutorginella","Kutorginella",0,"Brachiopoda","Strophomenata","Productida","Productellidae",37.84,-21.46,982854,117699,27298,-21.46,37.84,-18,40.6617064710607
"7","F127",1,17,290.1,"Sakmarian",290.1,251.902,"Liosotella","Liosotella",0,"Brachiopoda","Strophomenata","Productida","Paucispiniferidae",37.84,-21.46,982858,117701,27298,-21.46,37.84,-18,40.6617064710607
"8","F127",1,17,290.1,"Sakmarian",427.4,251.902,"Orthotetes","Orthotetes",0,"Brachiopoda","Strophomenata","Orthotetida","Orthotetidae",37.84,-21.46,982862,117702,27298,-21.46,37.84,-18,40.6617064710607
"9","F127",1,17,290.1,"Sakmarian",323.2,251.2,"Orthotichia","Orthotichia",0,"Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae",37.84,-21.46,982856,117700,27298,-21.46,37.84,-18,40.6617064710607
"10","F127",1,17,290.1,"Sakmarian",330.9,251.902,"Spiriferella","Spiriferella",0,"Brachiopoda","Rhynchonellata","Spiriferida","Spiriferellidae",37.84,-21.46,1001395,115714,29759,-21.46,37.84,-18,40.6617064710607
"11","F127",1,17,290.1,"Sakmarian",330.9,251.902,"Spiriferella","Spiriferella",0,"Brachiopoda","Rhynchonellata","Spiriferida","Spiriferellidae",37.84,-21.46,1001424,121749,29759,-21.46,37.84,-18,40.6617064710607
"12","F127",1,17,290.1,"Sakmarian",330.9,251.902,"Spiriferella","Spiriferella",0,"Brachiopoda","Rhynchonellata","Spiriferida","Spiriferellidae",37.84,-21.46,1001419,117699,29759,-21.46,37.84,-18,40.6617064710607
"13","F127",1,17,290.1,"Sakmarian",298.9,254.14,"Yakovlevia","Yakovlevia",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982864,115714,27298,-21.46,37.84,-18,40.6617064710607
"14","F127",1,17,290.1,"Sakmarian",298.9,254.14,"Yakovlevia","Yakovlevia",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982866,117703,27298,-21.46,37.84,-18,40.6617064710607
"15","F127",1,17,290.1,"Sakmarian",298.9,254.14,"Yakovlevia","Yakovlevia",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982867,117704,27298,-21.46,37.84,-18,40.6617064710607
"16","F127",1,17,290.1,"Sakmarian",298.9,254.14,"Yakovlevia","Yakovlevia",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982860,117701,27298,-21.46,37.84,-18,40.6617064710607
"17","F127",1,17,290.1,"Sakmarian",298.9,254.14,"Yakovlevia","Yakovlevia",0,"Brachiopoda","Strophomenata","Productida","Productidae",37.84,-21.46,982857,117700,27298,-21.46,37.84,-18,40.6617064710607
"18","F133",2,35,290.1,"Sakmarian",298.9,251.902,"Anidanthus","Anidanthus",0,"Brachiopoda","Strophomenata","Productida","Linoproductidae",42.12,41.66,990196,119328,27355,41.66,42.12,44.7926957680754,42.7401985555368
"19","F133",2,35,290.1,"Sakmarian",298.9,251.902,"Anidanthus","Anidanthus",0,"Brachiopoda","Strophomenata","Productida","Linoproductidae",42.12,41.66,990192,119327,27355,41.66,42.12,44.7926957680754,42.7401985555368
"20","F133",2,35,290.1,"Sakmarian",298.9,251.902,"Anidanthus","Anidanthus",0,"Brachiopoda","Strophomenata","Productida","Linoproductidae",42.12,41.66,990209,119331,27355,41.66,42.12,44.7926957680754,42.7401985555368
"21","F133",2,35,290.1,"Sakmarian",298.9,251.902,"Anidanthus","Anidanthus",0,"Brachiopoda","Strophomenata","Productida","Linoproductidae",42.12,41.66,990212,119333,27355,41.66,42.12,44.7926957680754,42.7401985555368
"22","F133",2,35,290.1,"Sakmarian",293.52,251.902,"Bajkuria","Bajkuria",0,"Brachiopoda","Rhynchonellata","Spiriferida","Elythidae",42.12,41.66,990201,119328,27355,41.66,42.12,44.7926957680754,42.7401985555368
"23","F133",2,35,290.1,"Sakmarian",346.7,251.902,"Cancrinella","Cancrinella",0,"Brachiopoda","Strophomenata","Productida","Linoproductidae",42.12,41.66,990193,119327,27355,41.66,42.12,44.7926957680754,42.7401985555368
"24","F133",2,35,290.1,"Sakmarian",453,251.2,"Chonetes","Chonetes",0,"Brachiopoda","Strophomenata","Strophomenida","Chonetidae",43.01,39.58,990221,119336,27355,39.58,43.01,44.7926957680754,42.7401985555368
