"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","long","lat"
"1","F221",1,19,"458.4","Darriwilian","477.7","445.2","Birmanites","Birmanites",0,"Arthropoda","Trilobita","Asaphida","Asaphidae",31.02,86.03,"Miaopo","","108647","7839","Middle section, Miaopo Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov., China","481",86.03,31.02,85.859089328531,31.6505355502863
"2","F221",1,19,"458.4","Darriwilian","477.7","387.7","Ecculiomphalus","Ecculiomphalus",0,"Mollusca","Gastropoda","Euomphalina","Ophiletidae",31.54,88.91,"Shan Majiagou","","240544","8008","Shan MaJiaGou Fm., PingShun and FengFeng counties, ShanXi Prov., China","521",88.91,31.54,85.859089328531,31.6505355502863
"3","F221",1,19,"458.4","Darriwilian","477.7","387.7","Ecculiomphalus","Ecculiomphalus",0,"Mollusca","Gastropoda","Euomphalina","Ophiletidae",31.87,89.78,"Shan Majiagou","","240563","8010","Shan MaJiagou Fm., LuCheng Co., ShanXi Prov., China","521",89.78,31.87,85.859089328531,31.6505355502863
"4","F221",1,19,"458.4","Darriwilian","477.7","387.7","Ecculiomphalus","Ecculiomphalus",0,"Mollusca","Gastropoda","Euomphalina","Ophiletidae",29.72,89.88,"Fengfeng","","240524","8004","FengFeng Fm., DaZhai Co., ShanXi Prov., China","521",89.88,29.72,85.859089328531,31.6505355502863
"5","F221",1,19,"458.4","Darriwilian","467.3","443.8","Horderleyella","Horderleyella",0,"Brachiopoda","Rhynchonellata","Orthida","Harknessellidae",31.06,84.57,"Guniutan","","109194","7938","Upper section, GuNiuTan Fm., GaoLunChun, JuRong Co., JiangSu Prov., China","482",84.57,31.06,85.859089328531,31.6505355502863
"6","F221",1,19,"458.4","Darriwilian","477.7","430.5","Illaenus","Illaenus",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",31.02,86.03,"Miaopo","","108653","7839","Middle section, Miaopo Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov., China","481",86.03,31.02,85.859089328531,31.6505355502863
"7","F221",1,19,"458.4","Darriwilian","467.3","453","Lepidorthis","Lepidorthis",0,"Brachiopoda","Rhynchonellata","Orthida","Glyptorthidae",31.06,84.57,"Guniutan","","109195","7938","Upper section, GuNiuTan Fm., GaoLunChun, JuRong Co., JiangSu Prov., China","482",84.57,31.06,85.859089328531,31.6505355502863
"8","F221",1,19,"458.4","Darriwilian","470","443.8","Lonchodomas","Lonchodomas",0,"Arthropoda","Trilobita","Trinucleida","Raphiophoridae",31.02,86.03,"Miaopo","","108657","7839","Middle section, Miaopo Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov., China","481",86.03,31.02,85.859089328531,31.6505355502863
"9","F221",1,19,"458.4","Darriwilian","477.7","430.5","Lophospira","Lophospira",0,"Mollusca","Gastropoda","Murchisoniina","Lophospiridae",31.87,89.78,"Shan Majiagou","","240565","8010","Shan MaJiagou Fm., LuCheng Co., ShanXi Prov., China","521",89.78,31.87,85.859089328531,31.6505355502863
"10","F221",1,19,"458.4","Darriwilian","477.7","430.5","Lophospira","Lophospira",0,"Mollusca","Gastropoda","Murchisoniina","Lophospiridae",31.54,88.91,"Shan Majiagou","","240546","8008","Shan MaJiaGou Fm., PingShun and FengFeng counties, ShanXi Prov., China","521",88.91,31.54,85.859089328531,31.6505355502863
"11","F221",1,19,"458.4","Darriwilian","477.7","208.5","Maclurites","Maclurites",0,"Mollusca","Gastropoda","Euomphalina","Macluritidae",31.87,89.78,"Shan Majiagou","","240566","8010","Shan MaJiagou Fm., LuCheng Co., ShanXi Prov., China","521",89.78,31.87,85.859089328531,31.6505355502863
"12","F221",1,19,"458.4","Darriwilian","477.7","208.5","Maclurites","Maclurites",0,"Mollusca","Gastropoda","Euomphalina","Macluritidae",31.54,88.91,"Shan Majiagou","","240547","8008","Shan MaJiaGou Fm., PingShun and FengFeng counties, ShanXi Prov., China","521",88.91,31.54,85.859089328531,31.6505355502863
"13","F221",1,19,"458.4","Darriwilian","477.7","208.5","Maclurites","Maclurites",0,"Mollusca","Gastropoda","Euomphalina","Macluritidae",29.72,89.88,"Fengfeng","","240525","8004","FengFeng Fm., DaZhai Co., ShanXi Prov., China","521",89.88,29.72,85.859089328531,31.6505355502863
"14","F221",1,19,"458.4","Darriwilian","458.4","445.2","Miaopopsis","Miaopopsis",0,"Arthropoda","Trilobita","Trinucleida","Raphiophoridae",31.02,86.03,"Miaopo","","108658","7839","Middle section, Miaopo Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov., China","481",86.03,31.02,85.859089328531,31.6505355502863
"15","F221",1,19,"458.4","Darriwilian","477.7","453","Nothorthis","Nothorthis",0,"Brachiopoda","Rhynchonellata","Orthida","Archaeorthidae",31.06,84.57,"Guniutan","","109196","7938","Upper section, GuNiuTan Fm., GaoLunChun, JuRong Co., JiangSu Prov., China","482",84.57,31.06,85.859089328531,31.6505355502863
"16","F221",1,19,"458.4","Darriwilian","477.7","165.3","Orthis","Orthis",0,"Brachiopoda","Rhynchonellata","Orthida","Orthidae",29.72,89.88,"Fengfeng","","240526","8004","FengFeng Fm., DaZhai Co., ShanXi Prov., China","521",89.88,29.72,85.859089328531,31.6505355502863
"17","F221",1,19,"458.4","Darriwilian","458.4","453","Ptychopyge","Ptychopyge",0,"Arthropoda","Trilobita","Asaphida","Asaphidae",31.02,86.03,"Miaopo","","108663","7839","Middle section, Miaopo Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov., China","481",86.03,31.02,85.859089328531,31.6505355502863
"18","F221",1,19,"458.4","Darriwilian","458.4","387.7","Skenidioides","Skenidioides",0,"Brachiopoda","Rhynchonellata","Protorthida","Skenidiidae",31.06,84.57,"Guniutan","","109199","7938","Upper section, GuNiuTan Fm., GaoLunChun, JuRong Co., JiangSu Prov., China","482",84.57,31.06,85.859089328531,31.6505355502863
"19","F221",1,19,"458.4","Darriwilian","467.3","445.2","Telephina","Telephina",0,"Arthropoda","Trilobita","Proetida","Telephinidae",31.02,86.03,"Miaopo","","108664","7839","Middle section, Miaopo Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov., China","481",86.03,31.02,85.859089328531,31.6505355502863
"20","F221",1,18,"453","Sandbian","477.7","453","Basilicus","Basilicus",1,"Arthropoda","Trilobita","Asaphida","Asaphidae",32.94,87.99,"Fengfeng","Badou","240387","7986","HanDan City","521",87.99,32.94,85.859089328531,31.6505355502863
"21","F221",1,18,"453","Sandbian","458.4","445.2","Calymenesun","Calymenesun",0,"Arthropoda","Trilobita","Phacopida","Calymenidae",34.11,82.93,"Baota","","108631","7837","Lower section, BaoTa (Pagoda) Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov.,","481",82.93,34.11,85.859089328531,31.6505355502863
"22","F221",1,18,"453","Sandbian","477.7","387.7","Ecculiomphalus","Ecculiomphalus",0,"Mollusca","Gastropoda","Euomphalina","Ophiletidae",34.11,82.93,"Baota","","108632","7837","Lower section, BaoTa (Pagoda) Fm., ShiNianPan and SanDaoBa, He Co., AnHui Prov.,","481",82.93,34.11,85.859089328531,31.6505355502863
"23","F221",1,18,"453","Sandbian","477.7","387.7","Ecculiomphalus","Ecculiomphalus",0,"Mollusca","Gastropoda","Euomphalina","Ophiletidae",31.87,89.78,"Fengfeng","","240553","8009","FengFeng Fm., LuCheng Co., ShanXi Prov., China","521",89.78,31.87,85.859089328531,31.6505355502863
