"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","long","lat"
"1","F176",1,76,445.2,"Katian",445.2,445.2,"Alceste","Alceste",1,"Arthropoda","Trilobita","Corynexochida","Styginidae",37.56,80.68,1398521,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"2","F176",1,76,445.2,"Katian",453,443.8,"Amphitryon","Amphitryon",0,"Arthropoda","Trilobita","Asaphida","Remopleurididae",37.56,80.68,1398493,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"3","F176",1,76,445.2,"Katian",453,443.8,"Amphitryon","Amphitryon",0,"Arthropoda","Trilobita","Asaphida","Remopleurididae",37.56,80.68,1398478,192793,65444,80.68,37.56,80.8769415180706,38.4193746529344
"4","F176",1,76,445.2,"Katian",453,443.8,"Amphitryon","Amphitryon",0,"Arthropoda","Trilobita","Asaphida","Remopleurididae",37.71,80.9,1398537,192795,65444,80.9,37.71,80.8769415180706,38.4193746529344
"5","F176",1,76,445.2,"Katian",477.7,438.5,"Ampyx","Ampyx",0,"Arthropoda","Trilobita","Trinucleida","Raphiophoridae",37.56,80.68,1398522,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"6","F176",1,76,445.2,"Katian",477.7,445.2,"Birmanites","Birmanites",1,"Arthropoda","Trilobita","Asaphida","Asaphidae",37.56,80.68,1398508,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"7","F176",1,76,445.2,"Katian",467.3,445.2,"Celmus","Celmus",1,"Arthropoda","Trilobita","Ptychopariida","Raymondinidae",37.56,80.68,1398515,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"8","F176",1,76,445.2,"Katian",467.3,445.2,"Celmus","Celmus",1,"Arthropoda","Trilobita","Ptychopariida","Raymondinidae",37.71,80.9,1398563,192796,65444,80.9,37.71,80.8769415180706,38.4193746529344
"9","F176",1,76,445.2,"Katian",458.4,440.8,"Christiania","Christiania",0,"Brachiopoda","Strophomenata","Strophomenida","Christianiidae",37.62,81.55,1081744,7872,43470,81.55,37.62,80.8769415180706,38.4193746529344
"10","F176",1,76,445.2,"Katian",477.7,445.2,"Cyclopyge","Cyclopyge",1,"Arthropoda","Trilobita","Asaphida","Cyclopygidae",37.56,80.68,1398475,192793,65444,80.68,37.56,80.8769415180706,38.4193746529344
"11","F176",1,76,445.2,"Katian",477.7,445.2,"Cyclopyge","Cyclopyge",1,"Arthropoda","Trilobita","Asaphida","Cyclopygidae",37.71,80.9,1398533,192795,65444,80.9,37.71,80.8769415180706,38.4193746529344
"12","F176",1,76,445.2,"Katian",477.7,445.2,"Cyclopyge","Cyclopyge",1,"Arthropoda","Trilobita","Asaphida","Cyclopygidae",37.56,80.68,1398492,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"13","F176",1,76,445.2,"Katian",477.7,445.2,"Cyclopyge","Cyclopyge",1,"Arthropoda","Trilobita","Asaphida","Cyclopygidae",37.71,80.9,1398544,192796,65444,80.9,37.71,80.8769415180706,38.4193746529344
"14","F176",1,76,445.2,"Katian",453,407.6,"Decoroproetus","Decoroproetus",0,"Arthropoda","Trilobita","Proetida","Tropidocoryphidae",37.56,80.68,1398518,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"15","F176",1,76,445.2,"Katian",470,423,"Diacanthaspis","Diacanthaspis",0,"Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",37.71,80.9,1398565,192796,65444,80.9,37.71,80.8769415180706,38.4193746529344
"16","F176",1,76,445.2,"Katian",458.4,443.8,"Dionide","Dionide",0,"Arthropoda","Trilobita","Trinucleida","Dionididae",37.56,80.68,1398494,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"17","F176",1,76,445.2,"Katian",458.4,443.8,"Dionide","Dionide",0,"Arthropoda","Trilobita","Trinucleida","Dionididae",37.71,80.9,1398547,192796,65444,80.9,37.71,80.8769415180706,38.4193746529344
"18","F176",1,76,445.2,"Katian",458.4,443.8,"Dionide","Dionide",0,"Arthropoda","Trilobita","Trinucleida","Dionididae",37.56,80.68,1398487,192793,65444,80.68,37.56,80.8769415180706,38.4193746529344
"19","F176",1,76,445.2,"Katian",458.4,445.2,"Dionidella","Dionidella",1,"Arthropoda","Trilobita","Trinucleida","Dionididae",37.56,80.68,1398519,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"20","F176",1,76,445.2,"Katian",477.7,445.2,"Dubhglasina","Dubhglasina",1,"Arthropoda","Trilobita","Harpetida","Harpetidae",37.71,80.9,1398562,192796,65444,80.9,37.71,80.8769415180706,38.4193746529344
"21","F176",1,76,445.2,"Katian",477.7,445.2,"Dubhglasina","Dubhglasina",1,"Arthropoda","Trilobita","Harpetida","Harpetidae",37.56,80.68,1398489,192793,65444,80.68,37.56,80.8769415180706,38.4193746529344
"22","F176",1,76,445.2,"Katian",477.7,445.2,"Dubhglasina","Dubhglasina",1,"Arthropoda","Trilobita","Harpetida","Harpetidae",37.56,80.68,1398514,192794,65444,80.68,37.56,80.8769415180706,38.4193746529344
"23","F176",1,76,445.2,"Katian",470,445.2,"Encrinurella","Encrinurella",1,"Arthropoda","Trilobita","Phacopida","Pliomeridae",37.71,80.9,1398538,192795,65444,80.9,37.71,80.8769415180706,38.4193746529344
"24","F176",1,76,445.2,"Katian",470,445.2,"Encrinurella","Encrinurella",1,"Arthropoda","Trilobita","Phacopida","Pliomeridae",37.56,80.68,1398488,192793,65444,80.68,37.56,80.8769415180706,38.4193746529344
