"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"1","F130",1,313,5.333,"Messinian",11.63,0.129,"Acanthinula","Acanthinula",0,"Mollusca","Gastropoda","Stylommatophora","Acanthinulidae",43.68,9.08,1433267,172910,67968,9.08,43.68,12.8585340591738,45.610404392128
"2","F130",1,313,5.333,"Messinian",11.63,0.0117,"Acanthocardia","Acanthocardia (Acanthocardia)",0,"Mollusca","Bivalvia","Cardiida","Cardiidae",42.06,11.46,1494670,207783,71685,11.46,42.06,12.8585340591738,45.610404392128
"3","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1296549,172926,56210,9.08,43.68,12.8585340591738,45.610404392128
"4","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1296353,172912,56210,9.08,43.68,12.8585340591738,45.610404392128
"5","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1296487,172917,56210,9.08,43.68,12.8585340591738,45.610404392128
"6","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1296475,172916,56210,9.08,43.68,12.8585340591738,45.610404392128
"7","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1433255,172910,67968,9.08,43.68,12.8585340591738,45.610404392128
"8","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1432693,199859,67968,9.08,43.68,12.8585340591738,45.610404392128
"9","F130",1,313,5.333,"Messinian",11.63,5.333,"Acicula","Acicula",1,"Mollusca","Gastropoda","Architaenioglossa","Aciculidae",43.68,9.08,1296459,172915,56210,9.08,43.68,12.8585340591738,45.610404392128
"10","F130",1,313,5.333,"Messinian",242,0.0117,"Aequipecten","Aequipecten",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.06,11.46,1494667,207783,71685,11.46,42.06,12.8585340591738,45.610404392128
"11","F130",1,313,5.333,"Messinian",47.8,0.0117,"Amalda","Amalda",0,"Mollusca","Gastropoda","Neogastropoda","Ancillariidae",42.06,11.46,1494661,207783,71685,11.46,42.06,12.8585340591738,45.610404392128
"12","F130",1,313,5.333,"Messinian",41.2,0.0117,"Anadara","Anadara",0,"Mollusca","Bivalvia","Arcida","Arcidae",42.06,11.46,1494663,207783,71685,11.46,42.06,12.8585340591738,45.610404392128
"13","F130",1,313,5.333,"Messinian",168.2,0.0117,"Aporrhais","Aporrhais",0,"Mollusca","Gastropoda","Sorbeoconcha","Aporrhaidae",42.06,11.46,1494685,207784,71685,11.46,42.06,12.8585340591738,45.610404392128
"14","F130",1,313,5.333,"Messinian",264.28,0.0117,"Arca","Arca",0,"Mollusca","Bivalvia","Arcida","Arcidae",42.01,11.48,646781,69899,23452,11.48,42.01,12.8585340591738,45.610404392128
"15","F130",1,313,5.333,"Messinian",11.63,5.333,"Argna","Argna",1,"Mollusca","Gastropoda","Stylommatophora","Argnidae",43.68,9.08,1296491,172917,56210,9.08,43.68,12.8585340591738,45.610404392128
