"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"1","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Alichurastrea","Alichurastrea",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",50.58,92.01,1648932,234057,87595,92.01,50.58,90,52.6226318593503
"2","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Alichurastrea","Alichurastrea",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",50.64,91.91,1648934,234058,87595,91.91,50.64,90,52.6226318593503
"3","F103",1,32,184.2,"Pliensbachian",192.9,184.2,"Archaeosmilia","Archaeosmilia",1,"Cnidaria","Anthozoa","Scleractinia","Archaeosmiliidae",50.58,92.01,1648929,234057,87595,92.01,50.58,90,52.6226318593503
"4","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Eomicrophyllia","Eomicrophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",50.62,91.71,1648937,234059,87595,91.71,50.62,90,52.6226318593503
"5","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Eomicrophyllia","Eomicrophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",49.62,90.4,1648948,234060,87595,90.4,49.62,90,52.6226318593503
"6","F103",1,32,184.2,"Pliensbachian",199.5,184.2,"Fungiaphyllia","Fungiaphyllia",1,"Cnidaria","Anthozoa","Scleractinia","Latomeandridae",49.62,90.4,1648949,234060,87595,90.4,49.62,90,52.6226318593503
"7","F103",1,32,184.2,"Pliensbachian",199.5,184.2,"Fungiaphyllia","Fungiaphyllia",1,"Cnidaria","Anthozoa","Scleractinia","Latomeandridae",50.62,91.71,1648938,234059,87595,91.71,50.62,90,52.6226318593503
"8","F103",1,32,184.2,"Pliensbachian",199.5,184.2,"Fungiaphyllia","Fungiaphyllia",1,"Cnidaria","Anthozoa","Scleractinia","Latomeandridae",50.58,92.01,1648939,234057,87595,92.01,50.58,90,52.6226318593503
"9","F103",1,32,184.2,"Pliensbachian",192.9,184.2,"Guembelastreomorpha","Guembelastreomorpha",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",50.62,91.71,1648936,234059,87595,91.71,50.62,90,52.6226318593503
"10","F103",1,32,184.2,"Pliensbachian",192.9,184.2,"Guembelastreomorpha","Guembelastreomorpha",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",49.62,90.4,1648947,234060,87595,90.4,49.62,90,52.6226318593503
"11","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Gurumdynia","Gurumdynia",1,"Cnidaria","Anthozoa","Scleractinia","Archaeosmiliidae",49.6,90.24,1648953,234062,87595,90.24,49.6,90,52.6226318593503
"12","F103",1,32,184.2,"Pliensbachian",199.5,184.2,"Oppelismilia","Oppelismilia",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",50.58,92.01,1648926,234057,87595,92.01,50.58,90,52.6226318593503
"13","F103",1,32,184.2,"Pliensbachian",199.5,113,"Parepismilia","Parepismilia",0,"Cnidaria","Anthozoa","Scleractinia","Donacosmilidae",49.62,90.4,1648945,234060,87595,90.4,49.62,90,52.6226318593503
"14","F103",1,32,184.2,"Pliensbachian",227,121.4,"Phacelostylophyllum","Phacelostylophyllum",0,"Cnidaria","Anthozoa","Scleractinia","Stylophyllidae",49.62,90.4,1648942,234060,87595,90.4,49.62,90,52.6226318593503
"15","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Pinacomorpha","Pinacomorpha",1,"Cnidaria","Anthozoa","Scleractinia","Archaeosmiliidae",49.6,90.24,1648952,234062,87595,90.24,49.6,90,52.6226318593503
"16","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Pinacomorpha","Pinacomorpha",1,"Cnidaria","Anthozoa","Scleractinia","Archaeosmiliidae",51,92.6,1648958,234063,87595,92.6,51,90,52.6226318593503
"17","F103",1,32,184.2,"Pliensbachian",184.2,33.9,"Placophyllia","Placophyllia",0,"Cnidaria","Anthozoa","Scleractinia","Placophylliidae",49.6,90.24,1648956,234062,87595,90.24,49.6,90,52.6226318593503
"18","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Protostephanastrea","Protostephanastrea",1,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",49.62,90.4,1648944,234060,87595,90.4,49.62,90,52.6226318593503
"19","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Protostephanastrea","Protostephanastrea",1,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",50.58,92.01,1648930,234057,87595,92.01,50.58,90,52.6226318593503
"20","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Protostephanastrea","Protostephanastrea",1,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",49.6,90.24,1648954,234062,87595,90.24,49.6,90,52.6226318593503
"21","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Psenophyllia","Psenophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",50.62,91.71,1648935,234059,87595,91.71,50.62,90,52.6226318593503
"22","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Psenophyllia","Psenophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",49.6,90.24,1648951,234062,87595,90.24,49.6,90,52.6226318593503
"23","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Psenophyllia","Psenophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",49.62,90.4,1648943,234060,87595,90.4,49.62,90,52.6226318593503
"24","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Psenophyllia","Psenophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",51,92.6,1648957,234063,87595,92.6,51,90,52.6226318593503
"25","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Psenophyllia","Psenophyllia",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",50.58,92.01,1648928,234057,87595,92.01,50.58,90,52.6226318593503
"26","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Sedekastrea","Sedekastrea",1,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",50.58,92.01,1648931,234057,87595,92.01,50.58,90,52.6226318593503
"27","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Sedekastrea","Sedekastrea",1,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",50.64,91.91,1648933,234058,87595,91.91,50.64,90,52.6226318593503
"28","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Sedekastrea","Sedekastrea",1,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",49.6,90.24,1648955,234062,87595,90.24,49.6,90,52.6226318593503
"29","F103",1,32,184.2,"Pliensbachian",184.2,184.2,"Stylimorpha","Stylimorpha",1,"Cnidaria","Anthozoa","Scleractinia","Parepismiliidae",49.62,90.4,1648946,234060,87595,90.4,49.62,90,52.6226318593503
"30","F103",1,32,184.2,"Pliensbachian",242,132.6,"Stylophyllopsis","Stylophyllopsis",0,"Cnidaria","Anthozoa","Scleractinia","Stylophyllidae",50.58,92.01,1648925,234057,87595,92.01,50.58,90,52.6226318593503
"31","F103",1,32,184.2,"Pliensbachian",192.9,184.2,"Thecactinastraea","Thecactinastraea",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",50.32,93.31,1648950,234061,87595,93.31,50.32,90,52.6226318593503
"32","F103",1,32,184.2,"Pliensbachian",192.9,184.2,"Thecactinastraea","Thecactinastraea",1,"Cnidaria","Anthozoa","Scleractinia","Oppelismiliidae",50.58,92.01,1648927,234057,87595,92.01,50.58,90,52.6226318593503
"33","F110",2,23,184.2,"Pliensbachian",247.2,100.5,"Bakevellia","Bakevellia (Neobakevellia)",0,"Mollusca","Bivalvia","Ostreida","Bakevelliidae",48.31,166.34,415876,40309,10664,166.34,48.31,167.141465940826,45.610404392128
"34","F110",2,23,184.2,"Pliensbachian",247.2,100.5,"Bakevellia","Bakevellia (Neobakevellia)",0,"Mollusca","Bivalvia","Ostreida","Bakevelliidae",48.28,166.08,1443018,201504,68962,166.08,48.28,167.141465940826,45.610404392128
"35","F110",2,23,184.2,"Pliensbachian",247.2,100.5,"Bakevellia","Bakevellia (Neobakevellia)",0,"Mollusca","Bivalvia","Ostreida","Bakevelliidae",47.77,166.41,416029,40333,10664,166.41,47.77,167.141465940826,45.610404392128
"36","F110",2,23,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",47.77,166.41,416032,40333,10664,166.41,47.77,167.141465940826,45.610404392128
"37","F110",2,23,184.2,"Pliensbachian",259.51,184.2,"Cardinioides","Cardinioides",1,"Mollusca","Bivalvia","Unionida","Pachycardiidae",47.77,166.41,416033,40333,10664,166.41,47.77,167.141465940826,45.610404392128
"38","F110",2,23,184.2,"Pliensbachian",192.9,139.8,"Crenotrapezium","Crenotrapezium",0,"Mollusca","Bivalvia","Veneroidei","Neomiodontidae",48.13,165.71,415373,39570,10664,165.71,48.13,167.141465940826,45.610404392128
"39","F110",2,23,184.2,"Pliensbachian",192.9,139.8,"Crenotrapezium","Crenotrapezium",0,"Mollusca","Bivalvia","Veneroidei","Neomiodontidae",47.93,166.46,415371,40224,10664,166.46,47.93,167.141465940826,45.610404392128
"40","F110",2,23,184.2,"Pliensbachian",199.5,93.9,"Eomiodon","Eomiodon",0,"Mollusca","Bivalvia","Veneroidei","Neomiodontidae",47.77,166.41,416034,40333,10664,166.41,47.77,167.141465940826,45.610404392128
