"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","long","lat"
"1","F15",1,29,"251.902","Changhsingian","393.3","100.5","Aviculopecten","Aviculopecten",0,"Mollusca","Bivalvia","Pectinida","Aviculopectinidae",78.05,81.72,"Dulgalakh","","967039","114218","Tompo River, Deleniy river basin, western Verkhoyan","27341",81.72,78.05,90,78.4761278348428
"2","F15",1,29,"251.902","Changhsingian","477.7","251.2","Bellerophon","Bellerophon",0,"Mollusca","Gastropoda","Bellerophontida","Bellerophontidae",79.81,86.82,"Nekuchan","","1486086","206758","Levyi Suol P-T boundary section (3-4m)","71081",86.82,79.81,90,78.4761278348428
"3","F15",1,29,"251.902","Changhsingian","477.7","251.2","Bellerophon","Bellerophon",0,"Mollusca","Gastropoda","Bellerophontida","Bellerophontidae",79.81,86.82,"Nekuchan","","1486071","206756","Levyi Suol P-T boundary section (1-2m)","71081",86.82,79.81,90,78.4761278348428
"4","F15",1,29,"251.902","Changhsingian","251.902","139.8","Dacromya","Dacromya",0,"Mollusca","Bivalvia","Nuculanida","Nuculanidae",79.81,86.82,"Nekuchan","","1486082","206758","Levyi Suol P-T boundary section (3-4m)","71081",86.82,79.81,90,78.4761278348428
"5","F15",1,29,"251.902","Changhsingian","251.902","139.8","Dacromya","Dacromya",0,"Mollusca","Bivalvia","Nuculanida","Nuculanidae",79.81,86.82,"Nekuchan","","1486072","206757","Levyi Suol P-T boundary section (2-3m)","71081",86.82,79.81,90,78.4761278348428
"6","F15",1,29,"251.902","Changhsingian","330.9","251.902","Deltopecten","Deltopecten",1,"Mollusca","Bivalvia","Pectinida","Deltopectinidae",79.66,90.42,"Imtachan","","761583","81383","Akbar Creek, Dyby River Basin, Southern Verkhoyan","27341",90.42,79.66,90,78.4761278348428
"7","F15",1,29,"251.902","Changhsingian","330.9","251.902","Deltopecten","Deltopecten",1,"Mollusca","Bivalvia","Pectinida","Deltopectinidae",80.57,85.31,"Imtachan","","967555","114236","Kobyume River, upper Imtachan Svita, Southern Verkhoyan","27341",85.31,80.57,90,78.4761278348428
"8","F15",1,29,"251.902","Changhsingian","290.1","251.902","Intomodesma","Intomodesma",1,"Mollusca","Bivalvia","Myalinida","Atomodesmatidae",80.57,85.31,"Privolninskaya","","1571298","221956","Sample 3i/16(19)-33(818), Kobyume River","77914",85.31,80.57,90,78.4761278348428
"9","F15",1,29,"251.902","Changhsingian","290.1","251.902","Intomodesma","Intomodesma",1,"Mollusca","Bivalvia","Myalinida","Atomodesmatidae",79.66,90.42,"Imtachan","","877174","97377","Dyby River Basin, Upper Imtachan, Southern Verkhoyan","27341",90.42,79.66,90,78.4761278348428
"10","F15",1,29,"251.902","Changhsingian","290.1","251.902","Intomodesma","Intomodesma",1,"Mollusca","Bivalvia","Myalinida","Atomodesmatidae",79.81,86.82,"Imtachan","","1486063","206754","Levyi Suol P-T boundary section (""-20m"")","71081",86.82,79.81,90,78.4761278348428
