"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"1","F121",1,43,83.6,"Santonian",113,0.0117,"Acila","Acila (Truncacila)",0,"Mollusca","Bivalvia","Nuculida","Nuculidae",45.94,-81.28,1362557,185391,62141,-81.28,45.94,-80.7926957680754,42.7401985555368
"2","F121",1,43,83.6,"Santonian",168.2,59.2,"Anchura","Anchura",0,"Mollusca","Gastropoda","Sorbeoconcha","Aporrhaidae",45.97,-81.29,1535465,158104,11610,-81.29,45.97,-80.7926957680754,42.7401985555368
"3","F121",1,43,83.6,"Santonian",264.28,0.0117,"Anomia","Anomia",0,"Mollusca","Bivalvia","Pectinida","Anomiidae",44.65,-80.69,451249,44279,11610,-80.69,44.65,-80.7926957680754,42.7401985555368
"4","F121",1,43,83.6,"Santonian",264.28,0.0117,"Anomia","Anomia",0,"Mollusca","Bivalvia","Pectinida","Anomiidae",45.97,-81.28,1362513,185381,62141,-81.28,45.97,-80.7926957680754,42.7401985555368
"5","F121",1,43,83.6,"Santonian",264.28,0.0117,"Anomia","Anomia",0,"Mollusca","Bivalvia","Pectinida","Anomiidae",45.19,-80.83,1565935,151978,48589,-80.83,45.19,-80.7926957680754,42.7401985555368
"6","F121",1,43,83.6,"Santonian",100.5,66,"Biplica","Biplica",0,"Mollusca","Gastropoda","Heterostropha","Ringiculidae",44.65,-80.69,451257,44279,11610,-80.69,44.65,-80.7926957680754,42.7401985555368
"7","F121",1,43,83.6,"Santonian",100.5,66,"Calva","Calva",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",45.94,-81.28,1362558,185391,62141,-81.28,45.94,-80.7926957680754,42.7401985555368
"8","F121",1,43,83.6,"Santonian",93.9,66,"Calva","Calva (Calva)",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",44.65,-80.69,451248,44279,11610,-80.69,44.65,-80.7926957680754,42.7401985555368
"9","F121",1,43,83.6,"Santonian",86.3,83.6,"Cladoceramus","Cladoceramus",1,"Mollusca","Bivalvia","Myalinida","Inoceramidae",45.97,-81.29,1535466,158104,11610,-81.29,45.97,-80.7926957680754,42.7401985555368
"10","F121",1,43,83.6,"Santonian",93.9,66,"Cymbophora","Cymbophora",0,"Mollusca","Bivalvia","Veneroidei","Mactridae",44.65,-80.69,451247,44279,11610,-80.69,44.65,-80.7926957680754,42.7401985555368
