"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","lat","long"
"1","F103",1,27,"201.4","Rhaetian","237","201.4","Astraeomorpha","Astraeomorpha",1,"Cnidaria","Anthozoa","Scleractinia","Astraeomorphidae",52.98,84.35,"Bortepa","","1097155","138589","Pordzhilga River Valley","35796",84.35,52.98,90,52.6226318593503
"2","F103",1,27,"201.4","Rhaetian","237","201.4","Astraeomorpha","Astraeomorpha",1,"Cnidaria","Anthozoa","Scleractinia","Astraeomorphidae",53.07,83.96,"Bortepa","","1097135","138588","Bortepa River Valley","35796",83.96,53.07,90,52.6226318593503
"3","F103",1,27,"201.4","Rhaetian","208.5","184.2","Chondrocoenia","Chondrocoenia",0,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",52.98,84.35,"Bortepa","","1097166","138589","Pordzhilga River Valley","35796",84.35,52.98,90,52.6226318593503
"4","F103",1,27,"201.4","Rhaetian","208.5","184.2","Chondrocoenia","Chondrocoenia",0,"Cnidaria","Anthozoa","Scleractinia","Actinastreidae",53.07,83.96,"Bortepa","","1097141","138588","Bortepa River Valley","35796",83.96,53.07,90,52.6226318593503
"5","F103",1,27,"201.4","Rhaetian","237","184.2","Coryphyllia","Coryphyllia",0,"Cnidaria","Anthozoa","Scleractinia","Reimaniphylliidae",52.98,84.35,"Bortepa","","1097146","138589","Pordzhilga River Valley","35796",84.35,52.98,90,52.6226318593503
"6","F103",1,27,"201.4","Rhaetian","237","184.2","Cuifastraea","Cuifastraea",0,"Cnidaria","Anthozoa","Scleractinia","Cuifastraeidae",53.07,83.96,"Bortepa","","1097136","138588","Bortepa River Valley","35796",83.96,53.07,90,52.6226318593503
"7","F103",1,27,"201.4","Rhaetian","237","184.2","Cuifastraea","Cuifastraea",0,"Cnidaria","Anthozoa","Scleractinia","Cuifastraeidae",52.98,84.35,"Bortepa","","1097160","138589","Pordzhilga River Valley","35796",84.35,52.98,90,52.6226318593503
"8","F103",1,27,"201.4","Rhaetian","227","201.4","Cuifia","Cuifia",1,"Cnidaria","Anthozoa","Scleractinia","Reimaniphylliidae",52.98,84.35,"Bortepa","","1097145","138589","Pordzhilga River Valley","35796",84.35,52.98,90,52.6226318593503
"9","F103",1,27,"201.4","Rhaetian","208.5","201.4","Curtoseris","Curtoseris",1,"Cnidaria","Anthozoa","Scleractinia","Curtoseriidae",52.98,84.35,"Bortepa","","1097165","138589","Pordzhilga River Valley","35796",84.35,52.98,90,52.6226318593503
"10","F103",1,27,"201.4","Rhaetian","208.5","201.4","Curtoseris","Curtoseris",1,"Cnidaria","Anthozoa","Scleractinia","Curtoseriidae",53.07,83.96,"Bortepa","","1097140","138588","Bortepa River Valley","35796",83.96,53.07,90,52.6226318593503
