ScoteseAge,GAT,T_change_1,early_interval,Age,ave_T,T_change,age_length
,,,Late Pleistocene,0,14.5,0.3,0
0,14.5,0.52,Chibanian,0.5,14.2,0.2,0
1,13.982262,-0.13,Calabrian,0.8,14,-0.4,0
2,14.1140187,-0.59,Gelasian,1.8,14.4,-0.8,1
3,14.7085975,-1.07,Piacenzian,2.6,15.2,-0.1,1
4,15.7764077,0.96,Zanclean,3.6,15.3,0,1
5,14.8181598,-0.05,Messinian,5.3,15.3,-1,2
6,14.8640161,-1.23,Tortonian,7.2,16.3,-0.5,2
7,16.0979162,-0.24,Serravallian,11.6,16.8,-1.1,4
8,16.3342222,0.23,Langhian,13.8,17.9,0.3,2
9,16.102692,-0.15,Burdigalian,16,17.6,-0.1,2
10,16.2516659,-0.16,Aquitanian,20.4,17.7,-0.3,4
11,16.409967,-0.15,Chattian,23,18,0.4,3
12,16.5643955,-0.16,Rupelian,27.8,17.5,-1.8,5
13,16.7215511,-0.36,Priabonian,33.9,19.3,-1.5,6
14,17.084627,-1.38,Bartonian,37.7,20.9,-1.8,4
15,18.468766,0.34,Lutetian,41.2,22.7,-2.1,3
16,18.1279569,0.48,Ypresian,47.8,24.9,1.7,7
17,17.6510765,0.29,Thanetian,56,23.2,0.7,8
18,17.3640895,-0.06,Selandian,59.2,22.5,1.3,3
19,17.4204596,0.09,Danian,61.6,21.3,0.9,2
20,17.3268091,-0.03,Maastrichtian,66,20.3,-1.7,4
21,17.3560177,-1.51,Campanian,72.1,22,-3.1,6
22,18.8665765,1.8,Santonian,83.6,25.2,-1.6,12
23,17.0659801,-1.51,Coniacian,86.3,26.8,-0.9,3
24,18.5800289,-0.38,Turonian,89.8,27.8,2.7,4
25,18.9638969,0.36,Cenomanian,93.9,25,3.9,4
26,18.6088709,0.54,Albian,100.5,21.2,-0.6,7
27,18.0644789,1.61,Aptian,113,21.8,-0.6,13
28,16.4594411,-0.89,Barremian,121.4,22.4,1.7,8
29,17.3484709,-0.59,Hauterivian,125.8,20.7,1.4,4
30,17.9351214,1.04,Valanginian,132.6,19.3,0.6,7
31,16.8980567,-1,Berriasian,139.8,18.7,-0.5,7
32,17.8961749,0.64,Tithonian,145,19.2,-1.4,5
33,17.2611247,-1.51,Kimmeridgian,149.2,20.6,-0.3,4
34,18.7754193,-0.53,Oxfordian,154.8,20.8,0.5,6
35,19.3008148,0.47,Callovian,161.5,20.3,-2,7
36,18.8329007,-0.81,Bathonian,165.3,22.3,0.1,4
37,19.6450903,-0.52,Bajocian,168.2,22.1,-0.3,3
38,20.1665978,-0.64,Aalenian,170.9,22.4,-0.3,3
39,20.8042431,-0.62,Toarcian,174.7,22.8,2.1,4
40,21.4266484,0.38,Pliensbachian,184.2,20.7,-1.6,10
41,21.0447375,-2.04,Sinemurian,192.9,22.2,-0.8,9
42,23.0863524,0.74,Hettangian,199.5,23.1,0.9,7
43,22.3505405,0.13,Rhaetian,201.4,22.1,-2.1,2
44,22.2174331,-0.03,Norian,208.5,24.3,0.2,7
45,22.2424571,-0.69,Carnian,227,24.1,-1.4,19
46,22.9363945,-0.64,Ladinian,237,25.5,-2.4,10
47,23.5788511,-0.63,Anisian,242,27.9,-2.4,5
48,24.2127006,-0.59,Olenekian,247.2,30.3,1.2,5
49,24.8031232,-0.34,Induan,251.2,29.1,5.3,4
50,25.1409294,-0.37,Changhsingian,251.9,23.8,4.1,1
51,25.5099037,0.33,Wuchiapingian,254.1,19.7,1.6,2
52,25.1804596,0.16,Capitanian,259.5,18,0.9,5
53,25.025148,0.75,Wordian,264.3,17.1,0.4,5
54,24.2789908,-0.08,Roadian,266.9,16.7,2.1,3
55,24.3539958,-0.86,Kungurian,273,14.6,-0.1,6
56,25.217426,2.28,Artinskian,283.5,14.7,1.8,10
57,22.9353006,0.61,Sakmarian,290.1,12.9,0.3,7
58,22.3293043,0.05,Asselian,293.5,12.5,-0.4,3
59,22.2784589,-0.3,Gzhelian,298.9,12.9,-0.6,5
60,22.5800297,-0.15,Kasimovian,303.7,13.5,0.1,5
61,22.7339733,0.24,Moscovian,307,13.4,0.7,3
62,22.4946169,0.63,Bashkirian,315.2,12.7,-4.7,8
63,21.8600984,-0.22,Serpukhovian,323.2,17.4,-1.6,8
64,22.0751851,-2.07,Visean,330.9,19,-2.3,8
65,24.1470031,8.42,Tournaisian,346.7,21.2,-1.3,16
66,15.7254931,-5.26,Famennian,358.9,22.5,1,12
67,20.9836432,-0.11,Frasnian,372.2,21.5,0.9,13
68,21.0898285,0,Givetian,382.7,20.7,1.6,11
69,21.0912155,-0.01,Eifelian,387.7,19.1,0.4,5
70,21.1056401,-0.02,Emsian,393.3,18.7,0,6
71,21.1241545,-0.02,Pragian,407.6,18.7,-1.1,14
72,21.139941,-0.01,Lochkovian,410.8,19.8,2.1,3
73,21.1530009,-0.05,Ludfordian,423,17.7,0.3,12
74,21.2070908,-0.07,Gorstian,425.6,17.4,0.7,3
75,21.2802538,-0.11,Homerian,427.4,16.7,-0.8,2
