"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00131825095078775,0.00750912287348002,99,0.000754695244727533,-0.0160361317828086,0.0133996298812331
"2","2000",-0.00056502963970734,0.00492225661435172,99,0.000494705403383325,-0.0102126526038367,0.00908259332442202
"3","4000",-0.000692403387837421,0.00844233241136659,99,0.000848486332241191,-0.0172393749141159,0.0158545681384411
"4","6000",0.000185184006636108,0.0066086755966866,99,0.000664196888345077,-0.0127678201628696,0.0131381881761418
"5","8000",-0.000685932249526198,0.00532498214270945,99,0.000535180841900303,-0.0111228972492367,0.00975103275018433
"6","10000",0.000160225993907187,0.00580730299073575,99,0.000583655911035734,-0.0112220878679349,0.0115425398557493
"7","12000",-0.000377639576295237,0.0054834724931334,99,0.000551109721453277,-0.0111252456628367,0.0103699665102462
"8","14000",-3.50297925597929e-05,0.00629084690933106,99,0.000632253903388426,-0.0123650897348487,0.0122950301497291
"9","16000",-0.000754906527679608,0.00852517363969893,99,0.000856812188954843,-0.0174642468614895,0.0159544338061303
"10","18000",-0.00788263368399657,0.0802304383112793,98,0.0081044981410678,-0.165134292774104,0.149369025406111
