"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-9.29605653542314e-05,0.0231228010347985,99,0.00232392894346873,-0.0454136505935593,0.0452277294628508
"2","2000",1.07089747768956e-05,0.0134112196761444,99,0.00134787829232735,-0.0262752815904661,0.0262966995400199
"3","4000",-0.000111528989541912,0.00802774771564858,99,0.000806819002558758,-0.0158459145122131,0.0156228565331293
"4","6000",0.00010577706696352,0.0077280648716828,99,0.000776699743481754,-0.0150412300815348,0.0152527842154618
"5","8000",0.000233408069398231,0.00646321548526795,99,0.00064957759708632,-0.0124344942817269,0.0129013104205234
"6","10000",5.61789306052463e-05,0.00644747268429168,99,0.000647995386056396,-0.0125808675306064,0.0126932253918169
"7","12000",0.00116380183771124,0.00830008953707028,99,0.000834190385479296,-0.0151043736549465,0.017431977330369
"8","14000",0.00215428497300618,0.0108781565745009,99,0.0010932958717684,-0.0191669019130155,0.0234754718590279
"9","16000",0.00158516372768267,0.0140218437099952,99,0.00140924831681997,-0.0258976499439079,0.0290679773992733
"10","18000",0.00225285639288424,0.0161876582294039,98,0.00163520041507739,-0.0294749537367474,0.0339806665225159
