"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",0.00039461088158483,0.00628812864330795,99,0.00063198070737391,-0.0119301212592988,0.0127193430224684
"2","2000",-0.000774373831859986,0.00438581609287889,99,0.000440791102411569,-0.00937057337390261,0.00782182571018264
"3","4000",-0.000128457123895151,0.00461677609475254,99,0.000464003455981105,-0.00917733826961013,0.00892042402181983
"4","6000",0.000696355103199949,0.00415528074738888,99,0.000417621428414439,-0.00744799516168226,0.00884070536808216
"5","8000",-0.000557245930711006,0.00345712604496695,99,0.000347454240730931,-0.00733321297884623,0.00621872111742422
"6","10000",-0.000511557811964333,0.00296885233845367,99,0.000298380886806668,-0.00633050839533353,0.00530739277140486
"7","12000",-0.000541907059224836,0.00386237470789081,99,0.000388183263813101,-0.00811216148669082,0.00702834736824114
"8","14000",-0.000154004718243852,0.00351097468608885,99,0.000352866232793713,-0.00703551510297799,0.00672750566649029
"9","16000",-0.00184919242963841,0.00622143961728053,99,0.000625278208071873,-0.0140432140795083,0.0103448292202314
"10","18000",-0.00328017043312234,0.0104746547290092,99,0.0010527424104438,-0.0238104937019804,0.0172501528357358
