"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.000803408696884697,0.00832633153471392,99,0.000836827805477276,-0.017123018504924,0.0155162011111546
"2","2000",0.000141310860242208,0.00582269443723198,99,0.000585202809611759,-0.0112711702367325,0.0115537919572169
"3","4000",-0.000365885066935621,0.00708053627315287,99,0.000711620670683316,-0.0142437361623152,0.013511966028444
"4","6000",-4.93755227538001e-05,0.00523092998227327,99,0.000525728244115784,-0.0103019982880094,0.0102032472425018
"5","8000",-8.62982767855299e-05,0.0051036272113468,99,0.000512933834238945,-0.0100894076110253,0.00991681105745419
"6","10000",-0.000384885822676789,0.00443013931123537,99,0.000445245753465795,-0.00906795887269811,0.00829818722734454
"7","12000",-0.000272497044871424,0.00453918023410969,99,0.00045620477855574,-0.00916929030372642,0.00862429621398357
"8","14000",0.000186338197506833,0.006101119309141,99,0.000613185562109486,-0.0117718556484095,0.0121445320434232
"9","16000",0.000164023321117095,0.00720548985731073,99,0.000724178978406399,-0.0139587367992119,0.0142867834414461
"10","18000",0.000536407060288721,0.00756051931051583,99,0.000759860781006591,-0.0142822107883223,0.0153550249088997
