"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00077116128304308,0.0122760296258296,99,0.00123378739952011,-0.024832179349669,0.0232898567835829
"2","2000",-0.00206142678653983,0.00822282851523647,99,0.000826425360620442,-0.0181781706764033,0.0140553171033237
"3","4000",-0.0011778357085848,0.00689054021278627,99,0.000692525348141446,-0.0146832945256459,0.0123276231084763
"4","6000",-0.000165274389546398,0.00580795535860932,99,0.000583721476473974,-0.0115488668924207,0.0112183181133279
"5","8000",-0.00104643571047029,0.0078540940967606,99,0.000789366157184855,-0.0164404601401211,0.0143475887191805
"6","10000",0.000940182609170822,0.00765955359234553,99,0.00076981410083118,-0.0140725424318264,0.0159529076501681
"7","12000",-0.000291806411905297,0.00481694184711986,99,0.000484120871026001,-0.00973301243226021,0.00914939960844962
"8","14000",-0.000994081229039508,0.0098725491917508,99,0.000992228527071632,-0.0203442776448711,0.0183561151867921
"9","16000",0.000361551611896137,0.00607710930603864,99,0.00061077246600325,-0.0115495826279396,0.0122726858517319
"10","18000",0.000251205639590992,0.0104786159954865,99,0.0010531405327044,-0.0202868817115625,0.0207892929907445
"11",NA,0,0,99,0,0,0
