"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.000837216055984737,0.00946013402291924,99,0.000950779243045409,-0.0193790787409064,0.017704646628937
"2","2000",-0.000211504814710959,0.00612174058693382,99,0.000615258078507561,-0.0122101163651012,0.0117871067356793
"3","4000",5.04553922183391e-06,0.00525679067740333,99,0.000528327341769243,-0.0102982641884887,0.0103083552669324
"4","6000",-0.000272480155875074,0.00486773727162449,99,0.000489226003272931,-0.00981324520825907,0.00926828489650892
"5","8000",0.000910115900215191,0.00564125577487725,99,0.000566967537930104,-0.0101467454185442,0.0119669772189746
"6","10000",1.85452451702171e-05,0.00367497735677725,99,0.000369349121378248,-0.0071844103741132,0.00722150086445363
"7","12000",0.000244667559576473,0.0044241221192414,99,0.000444641002916234,-0.00842661179413668,0.00891594691328963
"8","14000",-0.000378275364893742,0.00537199434514855,99,0.000539905746023294,-0.0109073842813849,0.0101508335515974
"9","16000",-0.000651890871793877,0.00452635260568304,99,0.000454915553390852,-0.00952354197893263,0.00821976023534488
"10","18000",-5.21860955463353e-05,0.006196574949979,99,0.000622779214981686,-0.0121974729975052,0.0120931008064125
"11",NA,-0.00318597465336596,0.0335923151973261,56,0.0044889619391755,-0.0690269124401252,0.0626549631333933
