"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00340214902146328,0.0224394076548618,99,0.00225524532451532,-0.0473833880249925,0.0405790899820659
"2","2000",-0.000635229055605698,0.0206930402809414,99,0.00207972879950282,-0.0411935880062508,0.0399231298950394
"3","4000",-0.004570612057764,0.0274614699090752,99,0.00275998157212235,-0.0583950930795513,0.0492538689640233
"4","6000",-0.00205454932723331,0.0151257830109552,99,0.00152019839114153,-0.0317010840287055,0.0275919853742389
"5","8000",-0.00150139041292914,0.0107905142896591,99,0.00108448749072023,-0.022650798420661,0.0196480175948027
"6","10000",0.000867253495480849,0.0307574359256701,99,0.00309123862057107,-0.0594173209188326,0.0611518279097943
"7","12000",-0.000143341154570693,0.0227232219637869,99,0.00228376973581346,-0.0446808562035931,0.0443941738944517
"8","14000",4.05035899238089e-05,0.0162625279148968,99,0.00163444555261798,-0.0318340511232739,0.0319150583031216
"9","16000",0.00104434266267636,0.0225831769482406,99,0.00226969468216719,-0.0432186841558752,0.0453073694812279
"10","18000",-0.000610097580065548,0.0591368899893355,99,0.00594348107161061,-0.116518401959163,0.115298206799032
