"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00334466985452647,0.0528597922603107,49,0.0075513988943301,-0.106949862684735,0.100260522975683
"2","2000",-0.00138876198305652,0.0334835503024355,49,0.00478336432891936,-0.0670165205758302,0.0642389966097172
"3","4000",0.0124242020100316,0.0393863005698263,49,0.00562661436711804,-0.0647729471068279,0.0896213511268911
"4","6000",0.00625987612291181,0.0380872127664213,49,0.00544103039520304,-0.068391060899274,0.0809108131450976
"5","8000",0.00343852246128205,0.0537956840251273,49,0.00768509771787533,-0.102001018227967,0.108878063150532
"6","10000",0.00924311644434916,0.0344749023986742,49,0.00492498605695346,-0.0583276922570523,0.0768139251457506
"7","12000",-0.00126307818241022,0.0481540050252657,49,0.00687914357503796,-0.095644928031931,0.0931187716671106
"8","14000",0.00174200376802835,0.0463436247501982,49,0.00662051782145688,-0.0890915007423601,0.0925755082784168
"9","16000",0.00700059422501629,0.0506429192787164,49,0.00723470275410234,-0.0922595275612678,0.1062607160113
"10","18000",0.00156489694362957,0.0349692772262283,44,0.00527181689769633,-0.0669748864197778,0.070104680307037
"11",NA,-0.00776388960183426,0.0176261016038402,11,0.00531446959423814,-0.0423110487453611,0.0267832695416926
