"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00877256467605848,0.05834321887303,49,0.00833474555328999,-0.123125273667197,0.10558014431508
"2","2000",-0.00426827907870215,0.0306813349465786,49,0.00438304784951123,-0.0644036955739963,0.055867137416592
"3","4000",-0.00275505090080593,0.030633387865157,49,0.00437619826645101,-0.0627964911165137,0.0572863893149019
"4","6000",-0.00441642632680326,0.035161473999154,49,0.00502306771416486,-0.0733329153651451,0.0645000627115386
"5","8000",-0.00319636047246652,0.0434402225460657,49,0.00620574607800938,-0.0883391966627552,0.0819464757178222
"6","10000",0.00337679194920913,0.063647615661599,48,0.0091867420088755,-0.121372534747525,0.128126118645943
"7","12000",0.00870853635624018,0.0595852251738354,42,0.00919419985256837,-0.108078504984477,0.125495577696958
"8","14000",0.0144982247396361,0.089832984618585,43,0.0136994017230451,-0.161574425112791,0.190570874592063
"9","16000",-0.00133097904847131,0.0634814933126808,25,0.0126962986625362,-0.125754705941326,0.123092747844383
"10","18000",0.027746853070963,0.131806362520165,24,0.0269048610855588,-0.23059361746856,0.286087323610486
