"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",0.00330479059117376,0.0368879372207831,49,0.00526970531725472,-0.0689955663615611,0.0756051475439086
"2","2000",-0.00205303987865994,0.0224433653746521,49,0.00320619505352172,-0.046042036012978,0.0419359562556581
"3","4000",0.000400986176895639,0.0148107360053625,49,0.00211581942933751,-0.0286280563936149,0.0294300287474062
"4","6000",-0.00221244956437841,0.0128892469412493,49,0.00184132099160704,-0.027475373569227,0.0230504744404702
"5","8000",0.00153216663594912,0.015685243217442,49,0.00224074903106314,-0.0292109100702372,0.0322752433421355
"6","10000",0.00228763816629232,0.0153266155122759,49,0.0021895165017537,-0.0277525282377684,0.032327804570353
"7","12000",0.00203343178282952,0.015419717842761,49,0.00220281683468014,-0.028189215188982,0.0322560787546411
"8","14000",0.0036106949893549,0.0175699963825912,47,0.00256284737296471,-0.0308264979205239,0.0380478878992337
"9","16000",6.73736053862393e-05,0.0151155750833541,47,0.00220483323101924,-0.0295591535579879,0.0296939007687604
"10","18000",-0.00319577533693925,0.0178894535527287,43,0.00272811609082266,-0.0382591043002875,0.031867553626409
"11",NA,-0.1,NA,1,NA,NA,NA
