"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.000420755253485888,0.0199309155746401,99,0.00200313238452521,-0.0394853497797805,0.0386438392728087
"2","2000",-0.0010686653424883,0.0154610049625478,99,0.00155388946492709,-0.031372235069082,0.0292349043841054
"3","4000",0.00146649593740316,0.0156646005683091,99,0.00157435159320816,-0.0292361211764827,0.032169113051289
"4","6000",-0.000164786356964199,0.0108742277817923,99,0.00109290101324435,-0.021478272809277,0.0211487000953486
"5","8000",0.000142813849452771,0.00880340470313985,99,0.000884775462968634,-0.0171118593687013,0.0173974870676069
"6","10000",-0.00100923342364342,0.0100779418027148,99,0.001012871261171,-0.0207619993569645,0.0187435325096776
"7","12000",-0.000585107415183369,0.0109818953706361,99,0.00110372201307094,-0.0221096223416301,0.0209394075112634
"8","14000",-0.00292626232758047,0.0199629321939164,96,0.00203745823520309,-0.0420536094276566,0.0362010847724956
"9","16000",0.00018193795417393,0.0288111455287468,75,0.00332682452533669,-0.0562879072821698,0.0566517831905177
"10","18000",0.00190645280154572,0.0250275470099713,62,0.0031785016487696,-0.047147539337998,0.0509604449410895
"11",NA,-0.0321969696969697,0.0402657038361161,4,0.020132851918058,-0.111117749215757,0.0467238098218178
