"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.000732305686167139,0.0206729434904817,99,0.00207770899606509,-0.0412512749275113,0.0397866635551771
"2","2000",0.00297311246855938,0.015605091761824,99,0.00156837073312231,-0.0276128673846156,0.0335590923217344
"3","4000",0.000397309126913318,0.0139409943908973,99,0.00140112265451684,-0.0269270398792454,0.0277216581330721
"4","6000",0.0013365955068748,0.0125147813637997,99,0.001257782852032,-0.0231923759661727,0.0258655669799223
"5","8000",-0.00103848523704883,0.00722991941881242,99,0.000726634241718339,-0.0152091272979212,0.0131321568238235
"6","10000",0.000430265834161109,0.00319538990023785,99,0.00032114876842364,-0.00583269837030508,0.0066932300386273
"7","12000",-0.000392825909062644,0.00667214824632259,99,0.000670576129656964,-0.0134702364718549,0.0126845846537296
"8","14000",-0.00321417547746469,0.0238870339501957,99,0.00240073724143273,-0.0500327620198483,0.043604411064919
"9","16000",-3.68527882498174e-05,0.00580035361615173,99,0.000582957472610801,-0.0114055458759072,0.0113318402994076
"10","18000",0.000366855366855366,0.00472168660272865,99,0.000474547358754509,-0.00888765037449278,0.00962136110820351
