"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00199984461170629,0.0234766153713169,49,0.00335380219590242,-0.0480140107394875,0.0440143215160749
"2","2000",-0.00134532763557281,0.0176291946175186,49,0.00251845637393123,-0.0358985490859093,0.0332078938147637
"3","4000",-0.000729508986644927,0.0130231275447001,49,0.00186044679210001,-0.0262548389742571,0.0247958210009673
"4","6000",-0.00141598442231334,0.0179473028138282,49,0.00256390040197546,-0.0365926979374166,0.0337607290927899
"5","8000",0.00142308771933677,0.0235040938315566,49,0.00335772769022237,-0.0446449361905142,0.0474911116291877
"6","10000",-0.00391830385610559,0.0278464874101509,49,0.00397806963002156,-0.0584974191800014,0.0506608114677902
"7","12000",-0.0045660181151377,0.0293114518240743,49,0.00418735026058204,-0.0620164636903234,0.052884427460048
"8","14000",-0.010170728973117,0.0279569386415923,49,0.00399384837737033,-0.064966328710638,0.044624870764404
"9","16000",-0.00800856537779597,0.0394885293250232,49,0.00564121847500332,-0.0854060828548415,0.0693889520992495
"10","18000",-0.0133998471669324,0.056946837959264,49,0.00813526256560915,-0.12501564956709,0.0982159552332251
