"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.000890276448802756,0.0209051648843206,99,0.00210104812429711,-0.0418643996220711,0.0400838467244656
"2","2000",0.00092413128855355,0.0207291907027704,99,0.00208336205360039,-0.0397050824888764,0.0415533450659835
"3","4000",-0.00338636037952205,0.0285828836516363,99,0.00287268789390488,-0.0594088123367292,0.0526360915776851
"4","6000",-0.000337600605390363,0.0171613504178321,99,0.00172478061308357,-0.0339738474243412,0.0332986462135605
"5","8000",-0.00150527110685736,0.0106150478803026,99,0.00106685245304912,-0.0223107649522504,0.0193002227385356
"6","10000",-0.000917956697719335,0.0103529837486842,99,0.00104051401681917,-0.0212098048451404,0.0193738914497018
"7","12000",0.000718427602888625,0.00914567740843042,99,0.000919175164163444,-0.017207100117635,0.0186439553234123
"8","14000",0.000973373657828261,0.0115182569500875,99,0.00115762838007102,-0.0216024099643432,0.0235491572799997
"9","16000",0.000117229120016872,0.0090736633819896,98,0.000916578415372702,-0.0176671511086827,0.0179016093487165
"10","18000",0,0,58,0,0,0
