"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",6.51818618105974e-05,0.0156829908174226,99,0.00157619988278727,-0.0306734801403378,0.030803843863959
"2","2000",-4.38980876956372e-05,0.012749387897049,99,0.00128136169579424,-0.0250326983659117,0.0249449021905204
"3","4000",0.000441880514806455,0.0095839968062699,99,0.000963227921162477,-0.0183427532254826,0.0192265142550955
"4","6000",0.0010499120351815,0.00764639218067602,99,0.000768491329188175,-0.0139370166389435,0.0160368407093065
"5","8000",0.000541169890996603,0.00556963689953048,99,0.00055976957012912,-0.0103753184320831,0.0114576582140763
"6","10000",0.00028396079871441,0.00670016524584619,99,0.000673391944056096,-0.0128483630831441,0.0134162846805729
"7","12000",0.000225819356838358,0.00884445273539903,99,0.000888900945434881,-0.0171093080045438,0.0175609467182205
"8","14000",-0.00117640583229903,0.00951726776620532,99,0.000956521400298392,-0.0198302506540615,0.0174774389894634
"9","16000",0.000589361111373117,0.00651751390617651,99,0.000655034793718517,-0.0121849661447328,0.0133636883674791
"10","18000",-0.00316183786351203,0.0380000434345513,99,0.00381914806332166,-0.0776419229952326,0.0713182472682085
"11",NA,-0.000568900546017251,0.0282645060877288,99,0.00284068974477917,-0.0559673324779657,0.0548295313859312
