"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",0.000657922949756056,0.0090850567915382,99,0.000913082562927342,-0.0171487883616588,0.0184646342611709
"2","2000",0.000499893528115258,0.00590134244031072,99,0.000593107231330636,-0.0110667376548938,0.0120665247111243
"3","4000",0.00102626389375565,0.00447745306652351,99,0.000450000964790445,-0.00774954411663042,0.00980207190414173
"4","6000",1.93448129969204e-06,0.00524286881040572,99,0.000526928141490083,-0.0102740883870955,0.0102779573496949
"5","8000",9.55046461066692e-06,0.00406681000697489,99,0.000408729784448434,-0.00796139714906011,0.00798049807828145
"6","10000",0.000253956340116715,0.00636843994100291,99,0.000640052296491507,-0.012228185944249,0.0127360986244824
"7","12000",3.79305277552292e-05,0.00425003293414073,99,0.00042714438149085,-0.00829213402316061,0.00836799507867106
"8","14000",-3.99800883707566e-05,0.00377586214007044,99,0.000379488423597636,-0.00744066988290881,0.0073607097061673
"9","16000",0.000217926134178076,0.00425071363901523,99,0.00042721279490484,-0.00811347259829177,0.00854932486664792
"10","18000",0.000527498662445845,0.00577933548787299,99,0.00058084507123819,-0.0107999988937852,0.0118549962186769
