"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.00126558415120715,0.0149583155522248,99,0.00150336727825659,-0.0305838826335677,0.0280527143311534
"2","2000",-0.000999206883925853,0.00735081020518816,99,0.000738784222900742,-0.0154067948860946,0.0134083811182429
"3","4000",0.000621088105406092,0.00826867510889169,99,0.000831033116652873,-0.0155855151080216,0.0168276913188338
"4","6000",-0.000286541280566413,0.0099548122420674,99,0.00100049627470831,-0.0197979732750185,0.0192248907138857
"5","8000",-0.000173705448064452,0.00617505507224494,99,0.000620616385891437,-0.0122768133896645,0.0119294024935356
"6","10000",-0.000304457563298162,0.00961603418073257,99,0.000966447798446137,-0.019151884557534,0.0185429694309377
"7","12000",-0.00106349748528026,0.0130342387373924,99,0.00130999028241958,-0.0266106054105693,0.0244836104400088
"8","14000",0.00107086462330905,0.0159281698782708,99,0.00160084130555349,-0.0301483483381018,0.0322900775847199
"9","16000",-0.00367930121305,0.0233028403783553,99,0.00234202357831963,-0.0493528683546263,0.0419942659285263
"10","18000",0.00348354390353667,0.0597721442437088,99,0.00600732652640556,-0.113669858814133,0.120636946621206
