"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",0.000145619903573406,0.0231261463141486,99,0.00232426515669368,-0.0451816268721578,0.0454728666793046
"2","2000",0.00374662611078783,0.0410534180772,98,0.00414702147332494,-0.0767180733205243,0.0842113255420999
"3","4000",0.00261377354863946,0.0214457858285973,94,0.0022119639146331,-0.0394199666754112,0.0446475137726901
"4","6000",-0.00553080080458601,0.0294701158534807,88,0.00314152490552245,-0.0632922278774081,0.0522306262682361
"5","8000",0.00124218973588224,0.0181242181819591,99,0.00182155246448774,-0.0342812779007575,0.036765657372522
"6","10000",0.000621842454413915,0.0174356958464511,97,0.00177032669141303,-0.0335521214046303,0.0347958063134581
"7","12000",0.000350516985642899,0.0133481330104026,98,0.00134836505254795,-0.0258118237147462,0.026512857686032
"8","14000",-0.000542293507176379,0.0164608929156221,97,0.0016713504496552,-0.0328056436217956,0.0317210566074429
"9","16000",-0.000829450837912116,0.0194775344788339,96,0.00198791753835872,-0.0390054184164265,0.0373465167406023
"10","18000",0.00460775693861564,0.034973219623038,62,0.00444160333373139,-0.0639397535225389,0.0731552673997702
